metric, value, unit
operation, dlio,
ranks, 168,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 441.000, GB
train size per rank, 2.625, GB
train emulated compute time per epoch, "1.938, 1.938, 1.938, 1.938, 1.938", "s, s, s, s, s"
train emulated compute time, 9.690, s
train metadata time per epoch, "3.644, 2.559, 2.591, 2.614, 3.117", "s, s, s, s, s"
train metadata time, 14.525, s
train raw read time per epoch, "17.649, 18.842, 18.804, 19.085, 18.534", "s, s, s, s, s"
train total raw read time, 92.915, s
train raw read rate per epoch, "152.306, 142.656, 142.948, 140.840, 145.028", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 144.756, MB/s
train observed time per epoch, "32.623, 32.737, 31.654, 31.751, 31.822", "s, s, s, s, s"
train observed time, 160.588, s
train observed rate per epoch, "87.600, 87.274, 90.456, 90.161, 89.946", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 89.087, MB/s
train throughput samples per second per epoch, "1.287, 1.283, 1.327, 1.323, 1.320", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 1.308, samples/s
train throughput stdev samples per second, 0.019, samples/s
train io avg, 83.709, MB/s
train io stdev, 1.202, MB/s
eval total size, 126.000, GB
eval size per rank, 768.000, MB
eval emulated compute time per epoch, "1.938, 1.938, 1.938, 1.938, 1.938", "s, s, s, s, s"
eval emulated compute time, 9.690, s
eval metadata time per epoch, "0.688, 1.268, 0.765, 0.541, 1.581", "s, s, s, s, s"
eval metadata time, 4.841, s
eval raw read time per epoch, "5.166, 4.425, 5.135, 5.298, 4.305", "s, s, s, s, s"
eval total raw read time, 24.330, s
eval raw read rate per epoch, "147.819, 172.614, 148.772, 144.004, 178.337", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 159.023, MB/s
eval observed time per epoch, "16.222, 15.618, 15.171, 15.984, 14.998", "s, s, s, s, s"
eval observed time, 77.994, s
eval observed rate per epoch, "53.766, 56.139, 58.035, 54.678, 58.804", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 56.284, MB/s
eval throughput samples per second per epoch, "0.740, 0.768, 0.791, 0.751, 0.800", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.770, samples/s
eval throughput stdev samples per second, 0.023, samples/s
eval io avg, 49.278, MB/s
eval io stdev, 1.469, MB/s
