metric, value, unit
operation, dlio,
ranks, 168,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 441.000, GB
train size per rank, 2.625, GB
train emulated compute time per epoch, "1.938, 1.938, 1.938, 1.938, 1.938", "s, s, s, s, s"
train emulated compute time, 9.690, s
train metadata time per epoch, "2.676, 2.951, 2.846, 2.971, 2.971", "s, s, s, s, s"
train metadata time, 14.414, s
train raw read time per epoch, "19.626, 19.139, 19.137, 19.088, 19.232", "s, s, s, s, s"
train total raw read time, 96.222, s
train raw read rate per epoch, "136.960, 140.448, 140.460, 140.819, 139.768", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 139.690, MB/s
train observed time per epoch, "32.916, 32.916, 34.071, 33.218, 32.784", "s, s, s, s, s"
train observed time, 165.905, s
train observed rate per epoch, "86.771, 86.771, 83.653, 85.932, 87.141", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 86.054, MB/s
train throughput samples per second per epoch, "1.276, 1.276, 1.233, 1.264, 1.281", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 1.266, samples/s
train throughput stdev samples per second, 0.018, samples/s
train io avg, 81.025, MB/s
train io stdev, 1.121, MB/s
eval total size, 126.000, GB
eval size per rank, 768.000, MB
eval emulated compute time per epoch, "1.938, 1.938, 1.938, 1.938, 1.938", "s, s, s, s, s"
eval emulated compute time, 9.690, s
eval metadata time per epoch, "1.096, 0.593, 1.067, 0.716, 0.948", "s, s, s, s, s"
eval metadata time, 4.419, s
eval raw read time per epoch, "4.677, 5.185, 5.013, 5.096, 5.126", "s, s, s, s, s"
eval total raw read time, 25.096, s
eval raw read rate per epoch, "164.031, 147.819, 152.588, 150.680, 149.727", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 153.215, MB/s
eval observed time per epoch, "15.561, 15.786, 16.109, 16.385, 15.885", "s, s, s, s, s"
eval observed time, 79.725, s
eval observed rate per epoch, "56.374, 55.460, 54.196, 53.161, 55.064", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 54.851, MB/s
eval throughput samples per second per epoch, "0.771, 0.760, 0.745, 0.732, 0.755", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.753, samples/s
eval throughput stdev samples per second, 0.013, samples/s
eval io avg, 48.180, MB/s
eval io stdev, 867.367, KB/s
