metric, value, unit
operation, dlio,
ranks, 168,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 441.000, GB
train size per rank, 2.625, GB
train emulated compute time per epoch, "1.938, 1.938, 1.938, 1.938, 1.938", "s, s, s, s, s"
train emulated compute time, 9.690, s
train metadata time per epoch, "3.787, 3.021, 3.185, 2.730, 2.930", "s, s, s, s, s"
train metadata time, 15.653, s
train raw read time per epoch, "18.711, 19.333, 19.207, 19.783, 19.630", "s, s, s, s, s"
train total raw read time, 96.663, s
train raw read rate per epoch, "143.659, 139.038, 139.952, 135.876, 136.934", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 139.092, MB/s
train observed time per epoch, "33.540, 32.696, 32.713, 32.789, 33.777", "s, s, s, s, s"
train observed time, 165.515, s
train observed rate per epoch, "85.058, 87.391, 87.344, 87.127, 84.424", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 86.269, MB/s
train throughput samples per second per epoch, "1.252, 1.285, 1.284, 1.281, 1.243", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 1.269, samples/s
train throughput stdev samples per second, 0.018, samples/s
train io avg, 81.216, MB/s
train io stdev, 1.123, MB/s
eval total size, 126.000, GB
eval size per rank, 768.000, MB
eval emulated compute time per epoch, "1.938, 1.938, 1.938, 1.938, 1.938", "s, s, s, s, s"
eval emulated compute time, 9.690, s
eval metadata time per epoch, "1.642, 0.739, 0.736, 0.571, 0.778", "s, s, s, s, s"
eval metadata time, 4.466, s
eval raw read time per epoch, "4.576, 5.427, 5.122, 5.351, 5.369", "s, s, s, s, s"
eval total raw read time, 25.846, s
eval raw read rate per epoch, "166.893, 141.144, 149.727, 143.051, 143.051", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 149.164, MB/s
eval observed time per epoch, "16.252, 16.225, 16.086, 15.514, 15.756", "s, s, s, s, s"
eval observed time, 79.833, s
eval observed rate per epoch, "53.654, 53.755, 54.284, 56.568, 55.579", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 54.768, MB/s
eval throughput samples per second per epoch, "0.738, 0.740, 0.746, 0.773, 0.762", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.752, samples/s
eval throughput stdev samples per second, 0.014, samples/s
eval io avg, 48.115, MB/s
eval io stdev, 893.026, KB/s
