metric, value, unit
operation, dlio,
ranks, 168,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 441.000, GB
train size per rank, 2.625, GB
train emulated compute time per epoch, "1.938, 1.938, 1.938, 1.938, 1.938", "s, s, s, s, s"
train emulated compute time, 9.690, s
train metadata time per epoch, "2.816, 3.237, 3.055, 2.519, 2.742", "s, s, s, s, s"
train metadata time, 14.368, s
train raw read time per epoch, "19.045, 18.179, 18.219, 19.286, 18.642", "s, s, s, s, s"
train total raw read time, 93.371, s
train raw read rate per epoch, "141.141, 147.861, 147.536, 139.373, 144.193", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 144.021, MB/s
train observed time per epoch, "46.034, 45.373, 46.085, 46.042, 45.646", "s, s, s, s, s"
train observed time, 229.180, s
train observed rate per epoch, "60.957, 61.886, 60.888, 60.946, 61.498", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 61.235, MB/s
train throughput samples per second per epoch, "0.912, 0.926, 0.911, 0.912, 0.920", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 0.916, samples/s
train throughput stdev samples per second, 0.006, samples/s
train io avg, 58.646, MB/s
train io stdev, 369.385, KB/s
eval total size, 126.000, GB
eval size per rank, 768.000, MB
eval emulated compute time per epoch, "1.938, 1.938, 1.938, 1.938, 1.938", "s, s, s, s, s"
eval emulated compute time, 9.690, s
eval metadata time per epoch, "1.197, 0.492, 1.119, 0.965, 0.655", "s, s, s, s, s"
eval metadata time, 4.428, s
eval raw read time per epoch, "4.593, 5.209, 4.646, 4.920, 4.931", "s, s, s, s, s"
eval total raw read time, 24.300, s
eval raw read rate per epoch, "166.893, 146.865, 164.985, 155.448, 155.448", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 158.355, MB/s
eval observed time per epoch, "19.254, 18.446, 19.117, 19.288, 18.368", "s, s, s, s, s"
eval observed time, 94.474, s
eval observed rate per epoch, "44.353, 46.521, 44.705, 44.264, 46.742", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 45.317, MB/s
eval throughput samples per second per epoch, "0.623, 0.651, 0.628, 0.622, 0.653", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.635, samples/s
eval throughput stdev samples per second, 0.014, samples/s
eval io avg, 40.664, MB/s
eval io stdev, 894.563, KB/s
