metric, value, unit
operation, dlio,
ranks, 168,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 441.000, GB
train size per rank, 2.625, GB
train emulated compute time per epoch, "1.938, 1.938, 1.938, 1.938, 1.938", "s, s, s, s, s"
train emulated compute time, 9.690, s
train metadata time per epoch, "4.760, 2.990, 2.624, 2.863, 3.805", "s, s, s, s, s"
train metadata time, 17.041, s
train raw read time per epoch, "17.327, 18.588, 18.984, 19.006, 17.940", "s, s, s, s, s"
train total raw read time, 91.845, s
train raw read rate per epoch, "155.136, 144.607, 141.592, 141.429, 149.834", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 146.520, MB/s
train observed time per epoch, "31.547, 31.503, 32.272, 31.570, 31.982", "s, s, s, s, s"
train observed time, 158.873, s
train observed rate per epoch, "90.784, 90.919, 88.612, 90.712, 89.470", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 90.100, MB/s
train throughput samples per second per epoch, "1.331, 1.333, 1.301, 1.330, 1.313", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 1.322, samples/s
train throughput stdev samples per second, 0.013, samples/s
train io avg, 84.603, MB/s
train io stdev, 820.367, KB/s
eval total size, 126.000, GB
eval size per rank, 768.000, MB
eval emulated compute time per epoch, "1.938, 1.938, 1.938, 1.938, 1.938", "s, s, s, s, s"
eval emulated compute time, 9.690, s
eval metadata time per epoch, "1.208, 1.818, 1.734, 0.688, 0.766", "s, s, s, s, s"
eval metadata time, 6.213, s
eval raw read time per epoch, "4.780, 3.933, 4.371, 5.111, 5.055", "s, s, s, s, s"
eval total raw read time, 23.250, s
eval raw read rate per epoch, "160.217, 194.549, 175.476, 149.727, 151.634", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 166.769, MB/s
eval observed time per epoch, "15.600, 16.096, 15.423, 16.503, 15.535", "s, s, s, s, s"
eval observed time, 79.157, s
eval observed rate per epoch, "56.215, 54.244, 56.951, 52.728, 56.483", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 55.324, MB/s
eval throughput samples per second per epoch, "0.769, 0.746, 0.778, 0.727, 0.772", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.758, samples/s
eval throughput stdev samples per second, 0.019, samples/s
eval io avg, 48.542, MB/s
eval io stdev, 1.229, MB/s
