metric, value, unit
operation, dlio,
ranks, 168,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 441.000, GB
train size per rank, 2.625, GB
train emulated compute time per epoch, "1.938, 1.938, 1.938, 1.938, 1.938", "s, s, s, s, s"
train emulated compute time, 9.690, s
train metadata time per epoch, "2.893, 2.469, 3.073, 3.608, 3.356", "s, s, s, s, s"
train metadata time, 15.400, s
train raw read time per epoch, "20.243, 20.358, 20.254, 19.732, 20.122", "s, s, s, s, s"
train total raw read time, 100.708, s
train raw read rate per epoch, "132.787, 132.034, 132.715, 136.227, 133.587", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 133.470, MB/s
train observed time per epoch, "32.808, 32.940, 32.558, 32.731, 32.124", "s, s, s, s, s"
train observed time, 163.160, s
train observed rate per epoch, "87.073, 86.704, 87.787, 87.293, 89.048", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 87.581, MB/s
train throughput samples per second per epoch, "1.280, 1.275, 1.290, 1.283, 1.307", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 1.287, samples/s
train throughput stdev samples per second, 0.011, samples/s
train io avg, 82.379, MB/s
train io stdev, 736.295, KB/s
eval total size, 126.000, GB
eval size per rank, 768.000, MB
eval emulated compute time per epoch, "1.938, 1.938, 1.938, 1.938, 1.938", "s, s, s, s, s"
eval emulated compute time, 9.690, s
eval metadata time per epoch, "1.114, 1.429, 0.610, 0.942, 0.918", "s, s, s, s, s"
eval metadata time, 5.014, s
eval raw read time per epoch, "5.165, 4.694, 5.254, 5.162, 5.318", "s, s, s, s, s"
eval total raw read time, 25.592, s
eval raw read rate per epoch, "147.819, 163.078, 145.912, 148.772, 144.004", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 150.338, MB/s
eval observed time per epoch, "15.259, 16.390, 15.995, 15.796, 15.691", "s, s, s, s, s"
eval observed time, 79.132, s
eval observed rate per epoch, "57.651, 53.142, 54.633, 55.419, 55.841", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 55.337, MB/s
eval throughput samples per second per epoch, "0.786, 0.732, 0.750, 0.760, 0.765", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.759, samples/s
eval throughput stdev samples per second, 0.018, samples/s
eval io avg, 48.553, MB/s
eval io stdev, 1.138, MB/s
