metric, value, unit
operation, dlio,
ranks, 168,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 441.000, GB
train size per rank, 2.625, GB
train emulated compute time per epoch, "1.938, 1.938, 1.938, 1.938, 1.938", "s, s, s, s, s"
train emulated compute time, 9.690, s
train metadata time per epoch, "2.973, 3.599, 2.591, 3.679, 2.776", "s, s, s, s, s"
train metadata time, 15.618, s
train raw read time per epoch, "18.985, 18.201, 19.179, 17.908, 18.987", "s, s, s, s, s"
train total raw read time, 93.259, s
train raw read rate per epoch, "141.587, 147.688, 140.153, 150.097, 141.571", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 144.219, MB/s
train observed time per epoch, "32.007, 31.515, 31.145, 31.133, 31.554", "s, s, s, s, s"
train observed time, 157.353, s
train observed rate per epoch, "89.396, 90.882, 92.033, 92.070, 90.762", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 91.028, MB/s
train throughput samples per second per epoch, "1.312, 1.333, 1.349, 1.349, 1.331", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 1.335, samples/s
train throughput stdev samples per second, 0.014, samples/s
train io avg, 85.422, MB/s
train io stdev, 888.806, KB/s
eval total size, 126.000, GB
eval size per rank, 768.000, MB
eval emulated compute time per epoch, "1.938, 1.938, 1.938, 1.938, 1.938", "s, s, s, s, s"
eval emulated compute time, 9.690, s
eval metadata time per epoch, "0.757, 0.625, 1.445, 1.078, 0.978", "s, s, s, s, s"
eval metadata time, 4.882, s
eval raw read time per epoch, "5.104, 5.162, 4.266, 4.899, 4.817", "s, s, s, s, s"
eval total raw read time, 24.248, s
eval raw read rate per epoch, "149.727, 148.772, 179.290, 156.402, 159.263", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 159.098, MB/s
eval observed time per epoch, "15.780, 15.966, 16.168, 16.037, 15.852", "s, s, s, s, s"
eval observed time, 79.803, s
eval observed rate per epoch, "55.481, 54.748, 53.972, 54.472, 55.196", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 54.773, MB/s
eval throughput samples per second per epoch, "0.760, 0.752, 0.742, 0.748, 0.757", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.752, samples/s
eval throughput stdev samples per second, 0.006, samples/s
eval io avg, 48.122, MB/s
eval io stdev, 420.492, KB/s
