metric, value, unit
operation, dlio,
ranks, 192,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 504.000, GB
train size per rank, 2.625, GB
train emulated compute time per epoch, "1.938, 1.938, 1.938, 1.938, 1.938", "s, s, s, s, s"
train emulated compute time, 9.690, s
train metadata time per epoch, "2.195, 2.412, 2.159, 2.117, 2.193", "s, s, s, s, s"
train metadata time, 11.076, s
train raw read time per epoch, "19.540, 19.446, 19.623, 19.574, 19.610", "s, s, s, s, s"
train total raw read time, 97.792, s
train raw read rate per epoch, "137.566, 138.231, 136.979, 137.327, 137.075", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 137.436, MB/s
train observed time per epoch, "32.262, 31.904, 32.558, 31.692, 31.849", "s, s, s, s, s"
train observed time, 160.265, s
train observed rate per epoch, "88.643, 89.700, 87.786, 90.341, 89.865", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 89.267, MB/s
train throughput samples per second per epoch, "1.302, 1.316, 1.290, 1.325, 1.319", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 1.310, samples/s
train throughput stdev samples per second, 0.013, samples/s
train io avg, 83.868, MB/s
train io stdev, 836.573, KB/s
eval total size, 120.000, GB
eval size per rank, 640.000, MB
eval emulated compute time per epoch, "1.615, 1.615, 1.615, 1.615, 1.615", "s, s, s, s, s"
eval emulated compute time, 8.075, s
eval metadata time per epoch, "0.697, 1.024, 1.069, 0.571, 0.631", "s, s, s, s, s"
eval metadata time, 3.992, s
eval raw read time per epoch, "4.403, 3.951, 3.796, 4.379, 4.212", "s, s, s, s, s"
eval total raw read time, 20.742, s
eval raw read rate per epoch, "144.958, 161.171, 167.847, 145.912, 151.634", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 154.798, MB/s
eval observed time per epoch, "13.390, 12.945, 13.057, 12.213, 12.994", "s, s, s, s, s"
eval observed time, 64.599, s
eval observed rate per epoch, "54.352, 56.488, 55.936, 60.387, 56.244", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 56.682, MB/s
eval throughput samples per second per epoch, "0.747, 0.773, 0.766, 0.819, 0.770", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.775, samples/s
eval throughput stdev samples per second, 0.024, samples/s
eval io avg, 49.582, MB/s
eval io stdev, 1.521, MB/s
