metric, value, unit
operation, dlio,
ranks, 192,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 504.000, GB
train size per rank, 2.625, GB
train emulated compute time per epoch, "1.938, 1.938, 1.938, 1.938, 1.938", "s, s, s, s, s"
train emulated compute time, 9.690, s
train metadata time per epoch, "2.287, 2.232, 2.194, 2.322, 2.412", "s, s, s, s, s"
train metadata time, 11.446, s
train raw read time per epoch, "19.526, 19.643, 19.643, 19.565, 19.523", "s, s, s, s, s"
train total raw read time, 97.900, s
train raw read rate per epoch, "137.661, 136.842, 136.844, 137.390, 137.681", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 137.283, MB/s
train observed time per epoch, "32.951, 31.869, 31.889, 31.955, 32.207", "s, s, s, s, s"
train observed time, 160.871, s
train observed rate per epoch, "86.673, 89.805, 89.745, 89.550, 88.804", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 88.915, MB/s
train throughput samples per second per epoch, "1.275, 1.318, 1.317, 1.314, 1.304", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 1.306, samples/s
train throughput stdev samples per second, 0.016, samples/s
train io avg, 83.558, MB/s
train io stdev, 1.040, MB/s
eval total size, 120.000, GB
eval size per rank, 640.000, MB
eval emulated compute time per epoch, "1.615, 1.615, 1.615, 1.615, 1.615", "s, s, s, s, s"
eval emulated compute time, 8.075, s
eval metadata time per epoch, "0.671, 0.723, 0.705, 0.463, 0.621", "s, s, s, s, s"
eval metadata time, 3.184, s
eval raw read time per epoch, "4.234, 3.891, 4.267, 4.310, 4.313", "s, s, s, s, s"
eval total raw read time, 21.016, s
eval raw read rate per epoch, "150.680, 164.031, 149.727, 147.819, 147.819", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 152.496, MB/s
eval observed time per epoch, "13.102, 13.498, 12.638, 13.329, 13.115", "s, s, s, s, s"
eval observed time, 65.681, s
eval observed rate per epoch, "55.716, 53.859, 58.061, 54.637, 55.652", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 55.585, MB/s
eval throughput samples per second per epoch, "0.763, 0.741, 0.791, 0.750, 0.762", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.762, samples/s
eval throughput stdev samples per second, 0.017, samples/s
eval io avg, 48.744, MB/s
eval io stdev, 1.087, MB/s
