metric, value, unit
operation, dlio,
ranks, 192,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 504.000, GB
train size per rank, 2.625, GB
train emulated compute time per epoch, "1.938, 1.938, 1.938, 1.938, 1.938", "s, s, s, s, s"
train emulated compute time, 9.690, s
train metadata time per epoch, "2.797, 3.112, 3.178, 2.474, 2.744", "s, s, s, s, s"
train metadata time, 14.306, s
train raw read time per epoch, "18.997, 17.966, 18.115, 19.608, 18.609", "s, s, s, s, s"
train total raw read time, 93.294, s
train raw read rate per epoch, "141.499, 149.613, 148.384, 137.088, 144.447", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 144.206, MB/s
train observed time per epoch, "32.065, 32.147, 32.573, 31.817, 31.539", "s, s, s, s, s"
train observed time, 160.141, s
train observed rate per epoch, "89.223, 88.980, 87.743, 89.961, 90.808", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 89.343, MB/s
train throughput samples per second per epoch, "1.310, 1.307, 1.289, 1.320, 1.332", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 1.311, samples/s
train throughput stdev samples per second, 0.014, samples/s
train io avg, 83.936, MB/s
train io stdev, 924.738, KB/s
eval total size, 120.000, GB
eval size per rank, 640.000, MB
eval emulated compute time per epoch, "1.615, 1.615, 1.615, 1.615, 1.615", "s, s, s, s, s"
eval emulated compute time, 8.075, s
eval metadata time per epoch, "0.844, 1.030, 0.905, 1.116, 0.895", "s, s, s, s, s"
eval metadata time, 4.791, s
eval raw read time per epoch, "3.659, 3.707, 3.631, 4.257, 4.166", "s, s, s, s, s"
eval total raw read time, 19.421, s
eval raw read rate per epoch, "174.521, 172.614, 175.476, 149.727, 153.541", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 165.549, MB/s
eval observed time per epoch, "12.989, 13.361, 13.215, 13.187, 13.498", "s, s, s, s, s"
eval observed time, 66.250, s
eval observed rate per epoch, "56.269, 54.486, 55.172, 55.306, 53.858", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 55.019, MB/s
eval throughput samples per second per epoch, "0.770, 0.748, 0.757, 0.758, 0.741", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.755, samples/s
eval throughput stdev samples per second, 0.010, samples/s
eval io avg, 48.310, MB/s
eval io stdev, 641.117, KB/s
