metric, value, unit
operation, dlio,
ranks, 192,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 504.000, GB
train size per rank, 2.625, GB
train emulated compute time per epoch, "1.938, 1.938, 1.938, 1.938, 1.938", "s, s, s, s, s"
train emulated compute time, 9.690, s
train metadata time per epoch, "2.874, 2.931, 3.465, 2.388, 2.752", "s, s, s, s, s"
train metadata time, 14.410, s
train raw read time per epoch, "19.288, 18.977, 18.563, 19.561, 19.323", "s, s, s, s, s"
train total raw read time, 95.712, s
train raw read rate per epoch, "139.361, 141.643, 144.801, 137.419, 139.106", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 140.466, MB/s
train observed time per epoch, "31.435, 32.070, 32.906, 31.714, 31.879", "s, s, s, s, s"
train observed time, 160.004, s
train observed rate per epoch, "91.128, 89.206, 86.799, 90.272, 89.777", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 89.437, MB/s
train throughput samples per second per epoch, "1.336, 1.310, 1.276, 1.324, 1.317", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 1.313, samples/s
train throughput stdev samples per second, 0.020, samples/s
train io avg, 84.018, MB/s
train io stdev, 1.291, MB/s
eval total size, 120.000, GB
eval size per rank, 640.000, MB
eval emulated compute time per epoch, "1.615, 1.615, 1.615, 1.615, 1.615", "s, s, s, s, s"
eval emulated compute time, 8.075, s
eval metadata time per epoch, "1.464, 1.193, 0.853, 0.537, 0.472", "s, s, s, s, s"
eval metadata time, 4.519, s
eval raw read time per epoch, "3.671, 3.797, 4.229, 4.309, 4.387", "s, s, s, s, s"
eval total raw read time, 20.393, s
eval raw read rate per epoch, "173.568, 167.847, 150.680, 147.819, 144.958", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 157.731, MB/s
eval observed time per epoch, "13.242, 13.124, 13.339, 12.485, 12.515", "s, s, s, s, s"
eval observed time, 64.705, s
eval observed rate per epoch, "55.045, 55.608, 54.590, 58.876, 58.713", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 56.566, MB/s
eval throughput samples per second per epoch, "0.755, 0.762, 0.750, 0.801, 0.799", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.773, samples/s
eval throughput stdev samples per second, 0.022, samples/s
eval io avg, 49.495, MB/s
eval io stdev, 1.413, MB/s
