metric, value, unit
operation, dlio,
ranks, 192,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 504.000, GB
train size per rank, 2.625, GB
train emulated compute time per epoch, "1.938, 1.938, 1.938, 1.938, 1.938", "s, s, s, s, s"
train emulated compute time, 9.690, s
train metadata time per epoch, "2.641, 2.307, 2.910, 2.745, 3.148", "s, s, s, s, s"
train metadata time, 13.752, s
train raw read time per epoch, "19.706, 19.786, 19.128, 19.356, 18.864", "s, s, s, s, s"
train total raw read time, 96.839, s
train raw read rate per epoch, "136.406, 135.854, 140.529, 138.874, 142.496", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 138.832, MB/s
train observed time per epoch, "31.838, 31.693, 31.940, 31.474, 31.154", "s, s, s, s, s"
train observed time, 158.099, s
train observed rate per epoch, "89.899, 90.338, 89.593, 91.007, 92.004", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 90.568, MB/s
train throughput samples per second per epoch, "1.319, 1.325, 1.315, 1.334, 1.348", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 1.328, samples/s
train throughput stdev samples per second, 0.012, samples/s
train io avg, 85.017, MB/s
train io stdev, 776.277, KB/s
eval total size, 120.000, GB
eval size per rank, 640.000, MB
eval emulated compute time per epoch, "1.615, 1.615, 1.615, 1.615, 1.615", "s, s, s, s, s"
eval emulated compute time, 8.075, s
eval metadata time per epoch, "0.712, 0.679, 0.415, 0.542, 0.450", "s, s, s, s, s"
eval metadata time, 2.798, s
eval raw read time per epoch, "4.428, 4.285, 4.578, 4.506, 4.402", "s, s, s, s, s"
eval total raw read time, 22.199, s
eval raw read rate per epoch, "144.004, 148.772, 139.236, 141.144, 144.958", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 144.225, MB/s
eval observed time per epoch, "13.130, 13.387, 12.717, 12.962, 13.042", "s, s, s, s, s"
eval observed time, 65.238, s
eval observed rate per epoch, "55.580, 54.364, 57.647, 56.402, 56.009", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 56.001, MB/s
eval throughput samples per second per epoch, "0.762, 0.747, 0.786, 0.771, 0.767", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.767, samples/s
eval throughput stdev samples per second, 0.013, samples/s
eval io avg, 49.064, MB/s
eval io stdev, 841.299, KB/s
