metric, value, unit
operation, dlio,
ranks, 192,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 504.000, GB
train size per rank, 2.625, GB
train emulated compute time per epoch, "1.938, 1.938, 1.938, 1.938, 1.938", "s, s, s, s, s"
train emulated compute time, 9.690, s
train metadata time per epoch, "2.327, 3.721, 2.440, 2.932, 2.903", "s, s, s, s, s"
train metadata time, 14.323, s
train raw read time per epoch, "19.798, 18.079, 19.426, 18.976, 18.951", "s, s, s, s, s"
train total raw read time, 95.230, s
train raw read rate per epoch, "135.771, 148.681, 138.370, 141.654, 141.839", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 141.263, MB/s
train observed time per epoch, "31.614, 31.831, 31.649, 32.235, 31.706", "s, s, s, s, s"
train observed time, 159.034, s
train observed rate per epoch, "90.578, 89.921, 90.472, 88.722, 90.298", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 89.998, MB/s
train throughput samples per second per epoch, "1.329, 1.319, 1.327, 1.303, 1.325", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 1.321, samples/s
train throughput stdev samples per second, 0.009, samples/s
train io avg, 84.514, MB/s
train io stdev, 610.835, KB/s
eval total size, 120.000, GB
eval size per rank, 640.000, MB
eval emulated compute time per epoch, "1.615, 1.615, 1.615, 1.615, 1.615", "s, s, s, s, s"
eval emulated compute time, 8.075, s
eval metadata time per epoch, "1.015, 0.931, 0.652, 0.656, 0.815", "s, s, s, s, s"
eval metadata time, 4.069, s
eval raw read time per epoch, "3.887, 4.063, 4.273, 4.162, 3.901", "s, s, s, s, s"
eval total raw read time, 20.287, s
eval raw read rate per epoch, "164.031, 157.355, 149.727, 153.541, 164.031", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 157.950, MB/s
eval observed time per epoch, "13.384, 13.527, 12.875, 12.907, 12.878", "s, s, s, s, s"
eval observed time, 65.571, s
eval observed rate per epoch, "54.378, 53.727, 56.840, 56.677, 56.822", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 55.688, MB/s
eval throughput samples per second per epoch, "0.747, 0.739, 0.777, 0.775, 0.777", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.763, samples/s
eval throughput stdev samples per second, 0.016, samples/s
eval io avg, 48.824, MB/s
eval io stdev, 1.041, MB/s
