metric, value, unit
operation, dlio,
ranks, 192,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 504.000, GB
train size per rank, 2.625, GB
train emulated compute time per epoch, "1.938, 1.938, 1.938, 1.938, 1.938", "s, s, s, s, s"
train emulated compute time, 9.690, s
train metadata time per epoch, "2.309, 2.561, 2.342, 2.680, 2.817", "s, s, s, s, s"
train metadata time, 12.709, s
train raw read time per epoch, "19.149, 19.087, 18.990, 18.774, 18.624", "s, s, s, s, s"
train total raw read time, 94.623, s
train raw read rate per epoch, "140.369, 140.832, 141.548, 143.178, 144.333", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 142.052, MB/s
train observed time per epoch, "32.239, 32.166, 31.899, 31.291, 31.712", "s, s, s, s, s"
train observed time, 159.306, s
train observed rate per epoch, "88.711, 88.925, 89.716, 91.575, 90.280", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 89.842, MB/s
train throughput samples per second per epoch, "1.303, 1.306, 1.317, 1.342, 1.324", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 1.318, samples/s
train throughput stdev samples per second, 0.014, samples/s
train io avg, 84.375, MB/s
train io stdev, 932.522, KB/s
eval total size, 120.000, GB
eval size per rank, 640.000, MB
eval emulated compute time per epoch, "1.615, 1.615, 1.615, 1.615, 1.615", "s, s, s, s, s"
eval emulated compute time, 8.075, s
eval metadata time per epoch, "0.788, 0.601, 1.016, 0.665, 0.552", "s, s, s, s, s"
eval metadata time, 3.622, s
eval raw read time per epoch, "3.875, 4.287, 3.781, 4.084, 4.328", "s, s, s, s, s"
eval total raw read time, 20.355, s
eval raw read rate per epoch, "164.985, 148.772, 168.800, 156.402, 147.819", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 157.661, MB/s
eval observed time per epoch, "13.409, 13.091, 13.197, 12.961, 13.897", "s, s, s, s, s"
eval observed time, 66.555, s
eval observed rate per epoch, "54.265, 55.766, 55.259, 56.409, 52.108", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 54.762, MB/s
eval throughput samples per second per epoch, "0.746, 0.764, 0.758, 0.772, 0.720", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.752, samples/s
eval throughput stdev samples per second, 0.018, samples/s
eval io avg, 48.108, MB/s
eval io stdev, 1.161, MB/s
