metric, value, unit
operation, dlio,
ranks, 192,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 504.000, GB
train size per rank, 2.625, GB
train emulated compute time per epoch, "1.938, 1.938, 1.938, 1.938, 1.938", "s, s, s, s, s"
train emulated compute time, 9.690, s
train metadata time per epoch, "2.673, 2.909, 2.446, 2.938, 2.640", "s, s, s, s, s"
train metadata time, 13.606, s
train raw read time per epoch, "19.288, 18.787, 19.097, 19.009, 19.396", "s, s, s, s, s"
train total raw read time, 95.578, s
train raw read rate per epoch, "139.363, 143.076, 140.753, 141.402, 138.584", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 140.636, MB/s
train observed time per epoch, "31.938, 32.393, 32.027, 31.766, 32.642", "s, s, s, s, s"
train observed time, 160.766, s
train observed rate per epoch, "89.599, 88.262, 89.334, 90.116, 87.546", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 88.972, MB/s
train throughput samples per second per epoch, "1.315, 1.297, 1.311, 1.322, 1.287", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 1.306, samples/s
train throughput stdev samples per second, 0.013, samples/s
train io avg, 83.607, MB/s
train io stdev, 845.894, KB/s
eval total size, 120.000, GB
eval size per rank, 640.000, MB
eval emulated compute time per epoch, "1.615, 1.615, 1.615, 1.615, 1.615", "s, s, s, s, s"
eval emulated compute time, 8.075, s
eval metadata time per epoch, "0.947, 0.622, 0.974, 0.598, 0.765", "s, s, s, s, s"
eval metadata time, 3.906, s
eval raw read time per epoch, "4.015, 4.196, 3.996, 4.083, 3.804", "s, s, s, s, s"
eval total raw read time, 20.093, s
eval raw read rate per epoch, "159.263, 151.634, 159.263, 156.402, 167.847", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 159.426, MB/s
eval observed time per epoch, "13.389, 12.409, 13.252, 12.723, 12.718", "s, s, s, s, s"
eval observed time, 64.491, s
eval observed rate per epoch, "54.355, 59.293, 54.995, 57.617, 57.643", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 56.780, MB/s
eval throughput samples per second per epoch, "0.747, 0.806, 0.755, 0.786, 0.786", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.776, samples/s
eval throughput stdev samples per second, 0.022, samples/s
eval io avg, 49.659, MB/s
eval io stdev, 1.403, MB/s
