metric, value, unit
operation, dlio,
ranks, 192,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 504.000, GB
train size per rank, 2.625, GB
train emulated compute time per epoch, "1.938, 1.938, 1.938, 1.938, 1.938", "s, s, s, s, s"
train emulated compute time, 9.690, s
train metadata time per epoch, "2.505, 3.442, 1.941, 2.779, 2.574", "s, s, s, s, s"
train metadata time, 13.240, s
train raw read time per epoch, "19.432, 18.579, 19.802, 18.954, 19.082", "s, s, s, s, s"
train total raw read time, 95.848, s
train raw read rate per epoch, "138.326, 144.679, 135.746, 141.817, 140.868", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 140.287, MB/s
train observed time per epoch, "31.500, 32.017, 31.606, 32.218, 31.712", "s, s, s, s, s"
train observed time, 159.052, s
train observed rate per epoch, "90.928, 89.365, 90.601, 88.772, 90.279", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 89.989, MB/s
train throughput samples per second per epoch, "1.333, 1.312, 1.329, 1.304, 1.324", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 1.320, samples/s
train throughput stdev samples per second, 0.011, samples/s
train io avg, 84.506, MB/s
train io stdev, 723.627, KB/s
eval total size, 120.000, GB
eval size per rank, 640.000, MB
eval emulated compute time per epoch, "1.615, 1.615, 1.615, 1.615, 1.615", "s, s, s, s, s"
eval emulated compute time, 8.075, s
eval metadata time per epoch, "1.210, 0.715, 0.867, 0.704, 0.806", "s, s, s, s, s"
eval metadata time, 4.303, s
eval raw read time per epoch, "3.739, 3.801, 4.079, 4.119, 3.808", "s, s, s, s, s"
eval total raw read time, 19.547, s
eval raw read rate per epoch, "170.707, 167.847, 156.402, 154.495, 167.847", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 163.973, MB/s
eval observed time per epoch, "13.039, 12.862, 12.801, 13.167, 13.467", "s, s, s, s, s"
eval observed time, 65.336, s
eval observed rate per epoch, "56.023, 56.903, 57.213, 55.401, 53.999", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 55.908, MB/s
eval throughput samples per second per epoch, "0.767, 0.777, 0.781, 0.759, 0.743", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.766, samples/s
eval throughput stdev samples per second, 0.014, samples/s
eval io avg, 48.993, MB/s
eval io stdev, 905.262, KB/s
