metric, value, unit
operation, dlio,
ranks, 216,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 472.500, GB
train size per rank, 2.188, GB
train emulated compute time per epoch, "1.615, 1.615, 1.615, 1.615, 1.615", "s, s, s, s, s"
train emulated compute time, 8.075, s
train metadata time per epoch, "2.177, 2.700, 2.453, 1.805, 3.000", "s, s, s, s, s"
train metadata time, 12.135, s
train raw read time per epoch, "16.271, 16.084, 15.817, 16.556, 15.229", "s, s, s, s, s"
train total raw read time, 79.956, s
train raw read rate per epoch, "137.666, 139.271, 141.622, 135.297, 147.092", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 140.189, MB/s
train observed time per epoch, "27.923, 27.324, 27.054, 27.532, 27.379", "s, s, s, s, s"
train observed time, 137.211, s
train observed rate per epoch, "85.145, 87.130, 88.053, 86.431, 86.943", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 86.740, MB/s
train throughput samples per second per epoch, "1.253, 1.281, 1.294, 1.271, 1.278", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 1.276, samples/s
train throughput stdev samples per second, 0.013, samples/s
train io avg, 81.635, MB/s
train io stdev, 866.135, KB/s
eval total size, 108.000, GB
eval size per rank, 512.000, MB
eval emulated compute time per epoch, "1.292, 1.292, 1.292, 1.292, 1.292", "s, s, s, s, s"
eval emulated compute time, 6.460, s
eval metadata time per epoch, "0.521, 0.426, 0.728, 0.448, 0.480", "s, s, s, s, s"
eval metadata time, 2.602, s
eval raw read time per epoch, "3.071, 3.508, 3.178, 3.284, 2.860", "s, s, s, s, s"
eval total raw read time, 15.901, s
eval raw read rate per epoch, "165.938, 145.912, 160.217, 155.448, 178.337", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 161.740, MB/s
eval observed time per epoch, "10.876, 11.090, 12.072, 10.965, 10.603", "s, s, s, s, s"
eval observed time, 55.607, s
eval observed rate per epoch, "53.422, 52.253, 47.496, 52.931, 54.985", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 52.218, MB/s
eval throughput samples per second per epoch, "0.736, 0.721, 0.663, 0.730, 0.754", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.721, samples/s
eval throughput stdev samples per second, 0.031, samples/s
eval io avg, 46.127, MB/s
eval io stdev, 1.983, MB/s
