metric, value, unit
operation, dlio,
ranks, 216,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 472.500, GB
train size per rank, 2.188, GB
train emulated compute time per epoch, "1.615, 1.615, 1.615, 1.615, 1.615", "s, s, s, s, s"
train emulated compute time, 8.075, s
train metadata time per epoch, "1.820, 1.860, 2.045, 1.837, 1.800", "s, s, s, s, s"
train metadata time, 9.361, s
train raw read time per epoch, "16.929, 16.807, 16.553, 16.674, 17.016", "s, s, s, s, s"
train total raw read time, 83.980, s
train raw read rate per epoch, "132.314, 133.279, 135.318, 134.340, 131.641", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 133.379, MB/s
train observed time per epoch, "27.708, 27.220, 27.611, 27.086, 27.265", "s, s, s, s, s"
train observed time, 136.889, s
train observed rate per epoch, "85.848, 87.483, 86.167, 87.943, 87.329", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 86.954, MB/s
train throughput samples per second per epoch, "1.263, 1.286, 1.268, 1.292, 1.284", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 1.279, samples/s
train throughput stdev samples per second, 0.011, samples/s
train io avg, 81.824, MB/s
train io stdev, 730.343, KB/s
eval total size, 108.000, GB
eval size per rank, 512.000, MB
eval emulated compute time per epoch, "1.292, 1.292, 1.292, 1.292, 1.292", "s, s, s, s, s"
eval emulated compute time, 6.460, s
eval metadata time per epoch, "0.462, 0.564, 0.377, 0.739, 0.379", "s, s, s, s, s"
eval metadata time, 2.520, s
eval raw read time per epoch, "3.523, 3.390, 3.651, 3.336, 3.525", "s, s, s, s, s"
eval total raw read time, 17.425, s
eval raw read rate per epoch, "144.958, 150.680, 140.189, 152.588, 144.958", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 147.066, MB/s
eval observed time per epoch, "10.958, 10.925, 11.168, 11.351, 10.734", "s, s, s, s, s"
eval observed time, 55.136, s
eval observed rate per epoch, "52.969, 53.150, 51.843, 50.897, 54.224", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 52.616, MB/s
eval throughput samples per second per epoch, "0.730, 0.732, 0.716, 0.705, 0.745", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.726, samples/s
eval throughput stdev samples per second, 0.014, samples/s
eval io avg, 46.447, MB/s
eval io stdev, 913.606, KB/s
