metric, value, unit
operation, dlio,
ranks, 216,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 472.500, GB
train size per rank, 2.188, GB
train emulated compute time per epoch, "1.615, 1.615, 1.615, 1.615, 1.615", "s, s, s, s, s"
train emulated compute time, 8.075, s
train metadata time per epoch, "2.428, 2.867, 2.790, 1.761, 2.356", "s, s, s, s, s"
train metadata time, 12.202, s
train raw read time per epoch, "15.885, 15.302, 14.769, 16.050, 15.093", "s, s, s, s, s"
train total raw read time, 77.100, s
train raw read rate per epoch, "141.014, 146.386, 151.664, 139.560, 148.410", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 145.406, MB/s
train observed time per epoch, "29.221, 27.596, 27.561, 27.146, 27.871", "s, s, s, s, s"
train observed time, 139.394, s
train observed rate per epoch, "81.143, 86.218, 86.334, 87.735, 85.312", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 85.349, MB/s
train throughput samples per second per epoch, "1.198, 1.268, 1.270, 1.289, 1.256", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 1.256, samples/s
train throughput stdev samples per second, 0.031, samples/s
train io avg, 80.397, MB/s
train io stdev, 1.992, MB/s
eval total size, 108.000, GB
eval size per rank, 512.000, MB
eval emulated compute time per epoch, "1.292, 1.292, 1.292, 1.292, 1.292", "s, s, s, s, s"
eval emulated compute time, 6.460, s
eval metadata time per epoch, "0.735, 0.796, 0.440, 0.354, 0.342", "s, s, s, s, s"
eval metadata time, 2.667, s
eval raw read time per epoch, "2.874, 3.009, 2.811, 2.593, 3.136", "s, s, s, s, s"
eval total raw read time, 14.423, s
eval raw read rate per epoch, "177.383, 169.754, 182.151, 197.410, 163.078", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 178.232, MB/s
eval observed time per epoch, "11.304, 10.995, 11.003, 11.066, 11.640", "s, s, s, s, s"
eval observed time, 56.008, s
eval observed rate per epoch, "51.138, 52.766, 52.725, 52.383, 49.479", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 51.698, MB/s
eval throughput samples per second per epoch, "0.708, 0.728, 0.727, 0.723, 0.687", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.715, samples/s
eval throughput stdev samples per second, 0.015, samples/s
eval io avg, 45.729, MB/s
eval io stdev, 1009.881, KB/s
