metric, value, unit
operation, dlio,
ranks, 216,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 472.500, GB
train size per rank, 2.188, GB
train emulated compute time per epoch, "1.615, 1.615, 1.615, 1.615, 1.615", "s, s, s, s, s"
train emulated compute time, 8.075, s
train metadata time per epoch, "2.054, 2.180, 2.219, 2.005, 2.121", "s, s, s, s, s"
train metadata time, 10.579, s
train raw read time per epoch, "16.914, 16.779, 16.497, 16.751, 16.380", "s, s, s, s, s"
train total raw read time, 83.321, s
train raw read rate per epoch, "132.437, 133.501, 135.778, 133.721, 136.750", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 134.438, MB/s
train observed time per epoch, "27.835, 28.124, 28.074, 27.919, 28.627", "s, s, s, s, s"
train observed time, 140.579, s
train observed rate per epoch, "85.430, 84.500, 84.660, 85.156, 82.926", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 84.534, MB/s
train throughput samples per second per epoch, "1.257, 1.245, 1.247, 1.254, 1.223", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 1.245, samples/s
train throughput stdev samples per second, 0.012, samples/s
train io avg, 79.678, MB/s
train io stdev, 792.686, KB/s
eval total size, 108.000, GB
eval size per rank, 512.000, MB
eval emulated compute time per epoch, "1.292, 1.292, 1.292, 1.292, 1.292", "s, s, s, s, s"
eval emulated compute time, 6.460, s
eval metadata time per epoch, "0.353, 0.606, 0.457, 0.918, 0.552", "s, s, s, s, s"
eval metadata time, 2.887, s
eval raw read time per epoch, "3.733, 3.673, 3.615, 3.122, 3.434", "s, s, s, s, s"
eval total raw read time, 17.577, s
eval raw read rate per epoch, "136.375, 139.236, 141.144, 163.078, 148.772", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 146.255, MB/s
eval observed time per epoch, "11.228, 11.815, 11.294, 11.763, 11.904", "s, s, s, s, s"
eval observed time, 58.004, s
eval observed rate per epoch, "51.527, 48.655, 51.189, 48.897, 48.249", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 49.704, MB/s
eval throughput samples per second per epoch, "0.712, 0.677, 0.708, 0.680, 0.672", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.690, samples/s
eval throughput stdev samples per second, 0.017, samples/s
eval io avg, 44.161, MB/s
eval io stdev, 1.081, MB/s
