metric, value, unit
operation, dlio,
ranks, 216,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 472.500, GB
train size per rank, 2.188, GB
train emulated compute time per epoch, "1.615, 1.615, 1.615, 1.615, 1.615", "s, s, s, s, s"
train emulated compute time, 8.075, s
train metadata time per epoch, "2.322, 2.245, 2.805, 2.242, 2.607", "s, s, s, s, s"
train metadata time, 12.222, s
train raw read time per epoch, "17.459, 17.219, 16.543, 17.554, 16.901", "s, s, s, s, s"
train total raw read time, 85.676, s
train raw read rate per epoch, "128.300, 130.086, 135.408, 127.605, 132.535", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 130.787, MB/s
train observed time per epoch, "28.077, 28.006, 27.379, 28.211, 28.011", "s, s, s, s, s"
train observed time, 139.683, s
train observed rate per epoch, "84.649, 84.878, 86.943, 84.224, 84.861", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 85.110, MB/s
train throughput samples per second per epoch, "1.247, 1.250, 1.278, 1.241, 1.250", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 1.253, samples/s
train throughput stdev samples per second, 0.013, samples/s
train io avg, 80.189, MB/s
train io stdev, 859.251, KB/s
eval total size, 108.000, GB
eval size per rank, 512.000, MB
eval emulated compute time per epoch, "1.292, 1.292, 1.292, 1.292, 1.292", "s, s, s, s, s"
eval emulated compute time, 6.460, s
eval metadata time per epoch, "0.582, 0.603, 0.621, 0.742, 0.647", "s, s, s, s, s"
eval metadata time, 3.194, s
eval raw read time per epoch, "3.418, 3.391, 3.981, 3.516, 3.381", "s, s, s, s, s"
eval total raw read time, 17.686, s
eval raw read rate per epoch, "149.727, 150.680, 127.792, 144.958, 150.680", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 145.295, MB/s
eval observed time per epoch, "10.964, 11.100, 11.240, 10.820, 11.218", "s, s, s, s, s"
eval observed time, 55.342, s
eval observed rate per epoch, "52.936, 52.202, 51.468, 53.736, 51.581", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 52.385, MB/s
eval throughput samples per second per epoch, "0.730, 0.721, 0.712, 0.739, 0.713", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.723, samples/s
eval throughput stdev samples per second, 0.010, samples/s
eval io avg, 46.267, MB/s
eval io stdev, 681.973, KB/s
