metric, value, unit
operation, dlio,
ranks, 216,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 472.500, GB
train size per rank, 2.188, GB
train emulated compute time per epoch, "1.615, 1.615, 1.615, 1.615, 1.615", "s, s, s, s, s"
train emulated compute time, 8.075, s
train metadata time per epoch, "2.104, 1.630, 1.781, 1.586, 1.790", "s, s, s, s, s"
train metadata time, 8.892, s
train raw read time per epoch, "16.097, 16.535, 16.592, 16.726, 16.273", "s, s, s, s, s"
train total raw read time, 82.223, s
train raw read rate per epoch, "139.155, 135.469, 135.007, 133.921, 137.653", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 136.241, MB/s
train observed time per epoch, "27.620, 27.199, 27.440, 27.519, 27.389", "s, s, s, s, s"
train observed time, 137.168, s
train observed rate per epoch, "86.136, 87.554, 86.736, 86.474, 86.908", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 86.762, MB/s
train throughput samples per second per epoch, "1.267, 1.287, 1.275, 1.272, 1.278", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 1.276, samples/s
train throughput stdev samples per second, 0.007, samples/s
train io avg, 81.653, MB/s
train io stdev, 430.009, KB/s
eval total size, 108.000, GB
eval size per rank, 512.000, MB
eval emulated compute time per epoch, "1.292, 1.292, 1.292, 1.292, 1.292", "s, s, s, s, s"
eval emulated compute time, 6.460, s
eval metadata time per epoch, "0.629, 0.659, 0.659, 0.425, 0.423", "s, s, s, s, s"
eval metadata time, 2.795, s
eval raw read time per epoch, "3.310, 3.327, 3.232, 3.519, 3.588", "s, s, s, s, s"
eval total raw read time, 16.976, s
eval raw read rate per epoch, "154.495, 153.541, 158.310, 144.958, 142.097", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 151.036, MB/s
eval observed time per epoch, "10.947, 11.082, 11.100, 11.088, 11.012", "s, s, s, s, s"
eval observed time, 55.229, s
eval observed rate per epoch, "53.027, 52.298, 52.203, 52.265, 52.674", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 52.493, MB/s
eval throughput samples per second per epoch, "0.731, 0.722, 0.721, 0.721, 0.726", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.724, samples/s
eval throughput stdev samples per second, 0.004, samples/s
eval io avg, 46.354, MB/s
eval io stdev, 250.535, KB/s
