metric, value, unit
operation, dlio,
ranks, 216,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 472.500, GB
train size per rank, 2.188, GB
train emulated compute time per epoch, "1.615, 1.615, 1.615, 1.615, 1.615", "s, s, s, s, s"
train emulated compute time, 8.075, s
train metadata time per epoch, "1.820, 2.154, 1.999, 1.974, 1.824", "s, s, s, s, s"
train metadata time, 9.770, s
train raw read time per epoch, "16.454, 15.948, 16.116, 16.249, 16.323", "s, s, s, s, s"
train total raw read time, 81.090, s
train raw read rate per epoch, "136.137, 140.455, 138.993, 137.851, 137.231", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 138.134, MB/s
train observed time per epoch, "28.479, 27.515, 27.332, 27.701, 27.873", "s, s, s, s, s"
train observed time, 138.901, s
train observed rate per epoch, "83.381, 86.485, 87.102, 85.868, 85.306", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 85.628, MB/s
train throughput samples per second per epoch, "1.229, 1.272, 1.281, 1.263, 1.256", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 1.260, samples/s
train throughput stdev samples per second, 0.018, samples/s
train io avg, 80.648, MB/s
train io stdev, 1.130, MB/s
eval total size, 108.000, GB
eval size per rank, 512.000, MB
eval emulated compute time per epoch, "1.292, 1.292, 1.292, 1.292, 1.292", "s, s, s, s, s"
eval emulated compute time, 6.460, s
eval metadata time per epoch, "0.753, 0.401, 0.442, 0.438, 0.728", "s, s, s, s, s"
eval metadata time, 2.762, s
eval raw read time per epoch, "3.189, 3.653, 3.442, 3.592, 3.083", "s, s, s, s, s"
eval total raw read time, 16.958, s
eval raw read rate per epoch, "160.217, 139.236, 147.819, 142.097, 165.938", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 151.622, MB/s
eval observed time per epoch, "10.896, 11.740, 11.450, 11.131, 11.013", "s, s, s, s, s"
eval observed time, 56.230, s
eval observed rate per epoch, "53.311, 49.004, 50.402, 52.038, 52.667", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 51.484, MB/s
eval throughput samples per second per epoch, "0.734, 0.681, 0.699, 0.719, 0.726", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.712, samples/s
eval throughput stdev samples per second, 0.019, samples/s
eval io avg, 45.561, MB/s
eval io stdev, 1.233, MB/s
