metric, value, unit
operation, dlio,
ranks, 216,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 472.500, GB
train size per rank, 2.188, GB
train emulated compute time per epoch, "1.615, 1.615, 1.615, 1.615, 1.615", "s, s, s, s, s"
train emulated compute time, 8.075, s
train metadata time per epoch, "2.896, 1.875, 2.008, 1.662, 1.950", "s, s, s, s, s"
train metadata time, 10.391, s
train raw read time per epoch, "15.694, 16.130, 16.023, 16.460, 16.263", "s, s, s, s, s"
train total raw read time, 80.569, s
train raw read rate per epoch, "142.732, 138.874, 139.801, 136.087, 137.734", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 139.046, MB/s
train observed time per epoch, "29.030, 27.466, 27.612, 27.638, 27.414", "s, s, s, s, s"
train observed time, 139.160, s
train observed rate per epoch, "81.707, 86.649, 86.162, 86.078, 86.825", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 85.484, MB/s
train throughput samples per second per epoch, "1.206, 1.274, 1.268, 1.266, 1.277", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 1.258, samples/s
train throughput stdev samples per second, 0.027, samples/s
train io avg, 80.520, MB/s
train io stdev, 1.697, MB/s
eval total size, 108.000, GB
eval size per rank, 512.000, MB
eval emulated compute time per epoch, "1.292, 1.292, 1.292, 1.292, 1.292", "s, s, s, s, s"
eval emulated compute time, 6.460, s
eval metadata time per epoch, "1.359, 0.552, 0.520, 0.700, 0.338", "s, s, s, s, s"
eval metadata time, 3.468, s
eval raw read time per epoch, "2.695, 3.526, 3.445, 3.294, 3.464", "s, s, s, s, s"
eval total raw read time, 16.424, s
eval raw read rate per epoch, "189.780, 144.958, 147.819, 154.495, 146.865", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 157.411, MB/s
eval observed time per epoch, "11.459, 11.417, 10.624, 11.260, 11.256", "s, s, s, s, s"
eval observed time, 56.015, s
eval observed rate per epoch, "50.359, 50.567, 54.865, 51.365, 51.387", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 51.709, MB/s
eval throughput samples per second per epoch, "0.698, 0.701, 0.753, 0.710, 0.711", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.715, samples/s
eval throughput stdev samples per second, 0.020, samples/s
eval io avg, 45.735, MB/s
eval io stdev, 1.271, MB/s
