metric, value, unit
operation, dlio,
ranks, 216,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 472.500, GB
train size per rank, 2.188, GB
train emulated compute time per epoch, "1.615, 1.615, 1.615, 1.615, 1.615", "s, s, s, s, s"
train emulated compute time, 8.075, s
train metadata time per epoch, "2.102, 1.941, 1.867, 1.694, 2.049", "s, s, s, s, s"
train metadata time, 9.653, s
train raw read time per epoch, "16.001, 16.078, 16.112, 16.183, 15.793", "s, s, s, s, s"
train total raw read time, 80.167, s
train raw read rate per epoch, "139.991, 139.317, 139.027, 138.414, 141.839", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 139.718, MB/s
train observed time per epoch, "27.420, 27.213, 27.948, 27.058, 27.007", "s, s, s, s, s"
train observed time, 136.646, s
train observed rate per epoch, "86.804, 87.508, 85.064, 88.039, 88.216", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 87.126, MB/s
train throughput samples per second per epoch, "1.276, 1.286, 1.252, 1.294, 1.296", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 1.281, samples/s
train throughput stdev samples per second, 0.016, samples/s
train io avg, 81.976, MB/s
train io stdev, 1.011, MB/s
eval total size, 108.000, GB
eval size per rank, 512.000, MB
eval emulated compute time per epoch, "1.292, 1.292, 1.292, 1.292, 1.292", "s, s, s, s, s"
eval emulated compute time, 6.460, s
eval metadata time per epoch, "0.338, 0.430, 0.435, 0.374, 1.126", "s, s, s, s, s"
eval metadata time, 2.703, s
eval raw read time per epoch, "3.449, 3.405, 3.505, 3.432, 2.776", "s, s, s, s, s"
eval total raw read time, 16.568, s
eval raw read rate per epoch, "147.819, 149.727, 145.912, 148.772, 184.059", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 155.691, MB/s
eval observed time per epoch, "10.710, 10.519, 11.102, 11.013, 11.034", "s, s, s, s, s"
eval observed time, 54.378, s
eval observed rate per epoch, "54.365, 55.485, 52.188, 52.670, 52.558", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 53.453, MB/s
eval throughput samples per second per epoch, "0.747, 0.760, 0.721, 0.726, 0.725", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.736, samples/s
eval throughput stdev samples per second, 0.015, samples/s
eval io avg, 47.098, MB/s
eval io stdev, 1002.672, KB/s
