metric, value, unit
operation, dlio,
ranks, 216,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 472.500, GB
train size per rank, 2.188, GB
train emulated compute time per epoch, "1.615, 1.615, 1.615, 1.615, 1.615", "s, s, s, s, s"
train emulated compute time, 8.075, s
train metadata time per epoch, "2.451, 2.535, 1.687, 2.068, 1.938", "s, s, s, s, s"
train metadata time, 10.678, s
train raw read time per epoch, "16.136, 15.998, 16.845, 16.387, 16.511", "s, s, s, s, s"
train total raw read time, 81.876, s
train raw read rate per epoch, "138.823, 140.021, 132.977, 136.693, 135.667", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 136.836, MB/s
train observed time per epoch, "28.427, 28.068, 28.557, 28.281, 28.159", "s, s, s, s, s"
train observed time, 141.490, s
train observed rate per epoch, "83.546, 84.680, 83.143, 84.003, 84.389", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 83.952, MB/s
train throughput samples per second per epoch, "1.231, 1.247, 1.226, 1.238, 1.243", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 1.237, samples/s
train throughput stdev samples per second, 0.008, samples/s
train io avg, 79.160, MB/s
train io stdev, 505.851, KB/s
eval total size, 108.000, GB
eval size per rank, 512.000, MB
eval emulated compute time per epoch, "1.292, 1.292, 1.292, 1.292, 1.292", "s, s, s, s, s"
eval emulated compute time, 6.460, s
eval metadata time per epoch, "0.411, 0.531, 0.535, 0.737, 1.320", "s, s, s, s, s"
eval metadata time, 3.533, s
eval raw read time per epoch, "3.597, 3.624, 3.556, 3.298, 2.983", "s, s, s, s, s"
eval total raw read time, 17.058, s
eval raw read rate per epoch, "142.097, 141.144, 143.051, 154.495, 170.707", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 150.897, MB/s
eval observed time per epoch, "11.870, 10.859, 11.756, 10.791, 11.279", "s, s, s, s, s"
eval observed time, 56.556, s
eval observed rate per epoch, "48.401, 53.517, 48.928, 53.899, 51.264", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 51.202, MB/s
eval throughput samples per second per epoch, "0.674, 0.737, 0.680, 0.741, 0.709", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.708, samples/s
eval throughput stdev samples per second, 0.028, samples/s
eval io avg, 45.334, MB/s
eval io stdev, 1.776, MB/s
