metric, value, unit
operation, dlio,
ranks, 240,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 420.000, GB
train size per rank, 1.750, GB
train emulated compute time per epoch, "1.292, 1.292, 1.292, 1.292, 1.292", "s, s, s, s, s"
train emulated compute time, 6.460, s
train metadata time per epoch, "1.418, 1.728, 1.358, 1.716, 1.581", "s, s, s, s, s"
train metadata time, 7.802, s
train raw read time per epoch, "13.709, 12.655, 12.952, 12.883, 12.909", "s, s, s, s, s"
train total raw read time, 65.108, s
train raw read rate per epoch, "130.719, 141.599, 138.355, 139.095, 138.822", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 137.718, MB/s
train observed time per epoch, "22.295, 22.320, 21.830, 22.442, 22.544", "s, s, s, s, s"
train observed time, 111.430, s
train observed rate per epoch, "85.320, 85.221, 87.252, 84.729, 84.322", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 85.368, MB/s
train throughput samples per second per epoch, "1.256, 1.254, 1.283, 1.248, 1.242", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 1.257, samples/s
train throughput stdev samples per second, 0.014, samples/s
train io avg, 80.418, MB/s
train io stdev, 915.027, KB/s
eval total size, 120.000, GB
eval size per rank, 512.000, MB
eval emulated compute time per epoch, "1.292, 1.292, 1.292, 1.292, 1.292", "s, s, s, s, s"
eval emulated compute time, 6.460, s
eval metadata time per epoch, "0.367, 0.385, 0.553, 0.383, 0.819", "s, s, s, s, s"
eval metadata time, 2.507, s
eval raw read time per epoch, "3.570, 3.451, 3.130, 3.394, 3.010", "s, s, s, s, s"
eval total raw read time, 16.556, s
eval raw read rate per epoch, "143.051, 147.819, 163.078, 150.680, 169.754", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 155.255, MB/s
eval observed time per epoch, "11.978, 11.143, 11.371, 11.206, 12.286", "s, s, s, s, s"
eval observed time, 57.984, s
eval observed rate per epoch, "47.912, 51.975, 50.800, 51.642, 46.569", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 49.779, MB/s
eval throughput samples per second per epoch, "0.668, 0.718, 0.704, 0.714, 0.651", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.691, samples/s
eval throughput stdev samples per second, 0.027, samples/s
eval io avg, 44.216, MB/s
eval io stdev, 1.700, MB/s
