metric, value, unit
operation, dlio,
ranks, 240,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 420.000, GB
train size per rank, 1.750, GB
train emulated compute time per epoch, "1.292, 1.292, 1.292, 1.292, 1.292", "s, s, s, s, s"
train emulated compute time, 6.460, s
train metadata time per epoch, "1.680, 1.967, 1.472, 2.094, 1.875", "s, s, s, s, s"
train metadata time, 9.087, s
train raw read time per epoch, "13.691, 13.302, 13.595, 13.095, 13.419", "s, s, s, s, s"
train total raw read time, 67.103, s
train raw read rate per epoch, "130.891, 134.714, 131.808, 136.842, 133.540", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 133.559, MB/s
train observed time per epoch, "22.369, 22.624, 22.132, 22.288, 21.806", "s, s, s, s, s"
train observed time, 111.220, s
train observed rate per epoch, "85.020, 84.003, 85.986, 85.350, 87.356", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 85.543, MB/s
train throughput samples per second per epoch, "1.252, 1.238, 1.265, 1.256, 1.284", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 1.259, samples/s
train throughput stdev samples per second, 0.015, samples/s
train io avg, 80.573, MB/s
train io stdev, 1008.755, KB/s
eval total size, 120.000, GB
eval size per rank, 512.000, MB
eval emulated compute time per epoch, "1.292, 1.292, 1.292, 1.292, 1.292", "s, s, s, s, s"
eval emulated compute time, 6.460, s
eval metadata time per epoch, "0.506, 0.593, 0.998, 0.690, 0.517", "s, s, s, s, s"
eval metadata time, 3.304, s
eval raw read time per epoch, "3.458, 3.695, 3.162, 3.502, 3.557", "s, s, s, s, s"
eval total raw read time, 17.373, s
eval raw read rate per epoch, "147.819, 138.282, 161.171, 145.912, 143.051", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 147.745, MB/s
eval observed time per epoch, "11.251, 11.573, 11.151, 10.492, 10.875", "s, s, s, s, s"
eval observed time, 55.341, s
eval observed rate per epoch, "51.411, 49.801, 51.934, 55.654, 53.428", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 52.445, MB/s
eval throughput samples per second per epoch, "0.711, 0.691, 0.717, 0.763, 0.736", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.724, samples/s
eval throughput stdev samples per second, 0.024, samples/s
eval io avg, 46.309, MB/s
eval io stdev, 1.541, MB/s
