metric, value, unit
operation, dlio,
ranks, 240,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 420.000, GB
train size per rank, 1.750, GB
train emulated compute time per epoch, "1.292, 1.292, 1.292, 1.292, 1.292", "s, s, s, s, s"
train emulated compute time, 6.460, s
train metadata time per epoch, "1.894, 1.395, 1.769, 1.439, 1.437", "s, s, s, s, s"
train metadata time, 7.934, s
train raw read time per epoch, "13.069, 13.529, 12.938, 13.140, 13.432", "s, s, s, s, s"
train total raw read time, 66.109, s
train raw read rate per epoch, "137.114, 132.451, 138.502, 136.377, 133.415", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 135.572, MB/s
train observed time per epoch, "22.630, 22.812, 22.308, 22.708, 22.380", "s, s, s, s, s"
train observed time, 112.838, s
train observed rate per epoch, "83.982, 83.271, 85.270, 83.675, 84.976", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 84.234, MB/s
train throughput samples per second per epoch, "1.237, 1.227, 1.255, 1.233, 1.251", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 1.241, samples/s
train throughput stdev samples per second, 0.011, samples/s
train io avg, 79.411, MB/s
train io stdev, 696.148, KB/s
eval total size, 120.000, GB
eval size per rank, 512.000, MB
eval emulated compute time per epoch, "1.292, 1.292, 1.292, 1.292, 1.292", "s, s, s, s, s"
eval emulated compute time, 6.460, s
eval metadata time per epoch, "0.881, 0.515, 0.598, 0.340, 0.413", "s, s, s, s, s"
eval metadata time, 2.747, s
eval raw read time per epoch, "3.349, 3.500, 3.434, 3.753, 3.478", "s, s, s, s, s"
eval total raw read time, 17.514, s
eval raw read rate per epoch, "152.588, 145.912, 148.772, 136.375, 146.865", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 146.379, MB/s
eval observed time per epoch, "11.063, 11.113, 11.004, 10.999, 11.229", "s, s, s, s, s"
eval observed time, 55.408, s
eval observed rate per epoch, "52.400, 52.135, 52.715, 52.743, 51.526", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 52.304, MB/s
eval throughput samples per second per epoch, "0.723, 0.720, 0.727, 0.727, 0.712", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.722, samples/s
eval throughput stdev samples per second, 0.005, samples/s
eval io avg, 46.205, MB/s
eval io stdev, 358.535, KB/s
