metric, value, unit
operation, dlio,
ranks, 8,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 63.000, GB
train size per rank, 7.875, GB
train emulated compute time per epoch, "5.814, 5.814, 5.814, 5.814, 5.814", "s, s, s, s, s"
train emulated compute time, 29.070, s
train metadata time per epoch, "0.762, 0.671, 0.477, 0.484, 0.515", "s, s, s, s, s"
train metadata time, 2.909, s
train raw read time per epoch, "6.069, 5.958, 5.908, 5.465, 5.026", "s, s, s, s, s"
train total raw read time, 28.426, s
train raw read rate per epoch, "1.297, 1.321, 1.332, 1.440, 1.566", "GB/s, GB/s, GB/s, GB/s, GB/s"
train avg raw read rate, 1.392, GB/s
train observed time per epoch, "13.399, 13.123, 12.488, 12.087, 11.768", "s, s, s, s, s"
train observed time, 62.866, s
train observed rate per epoch, "1.038, 1.077, 1.180, 1.255, 1.322", "GB/s, GB/s, GB/s, GB/s, GB/s"
train avg observed rate, 1.174, GB/s
train throughput samples per second per epoch, "9.403, 9.601, 10.090, 10.424, 10.707", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 10.045, samples/s
train throughput stdev samples per second, 0.488, samples/s
train io avg, 642.892, MB/s
train io stdev, 31.261, MB/s
eval total size, 16.000, GB
eval size per rank, 2.000, GB
eval emulated compute time per epoch, "5.168, 5.168, 5.168, 5.168, 5.168", "s, s, s, s, s"
eval emulated compute time, 25.840, s
eval metadata time per epoch, "0.248, 0.234, 0.139, 0.203, 0.187", "s, s, s, s, s"
eval metadata time, 1.011, s
eval raw read time per epoch, "1.610, 1.281, 1.134, 1.317, 1.009", "s, s, s, s, s"
eval total raw read time, 6.351, s
eval raw read rate per epoch, "1.241, 1.560, 1.764, 1.518, 1.980", "GB/s, GB/s, GB/s, GB/s, GB/s"
eval avg raw read rate, 1.613, GB/s
eval observed time per epoch, "9.708, 6.962, 6.770, 6.838, 6.808", "s, s, s, s, s"
eval observed time, 37.087, s
eval observed rate per epoch, "451.062, 1.114, 1.248, 1.197, 1.219", "MB/s, GB/s, GB/s, GB/s, GB/s"
eval avg observed rate, 1.044, GB/s
eval throughput samples per second per epoch, "3.296, 4.596, 4.727, 4.680, 4.700", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 4.400, samples/s
eval throughput stdev samples per second, 0.554, samples/s
eval io avg, 281.584, MB/s
eval io stdev, 35.426, MB/s
