metric, value, unit
operation, dlio,
ranks, 120,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 472.500, GB
train size per rank, 3.938, GB
train emulated compute time per epoch, "2.907, 2.907, 2.907, 2.907, 2.907", "s, s, s, s, s"
train emulated compute time, 14.535, s
train metadata time per epoch, "17.674, 18.414, 21.315, 17.207, 18.790", "s, s, s, s, s"
train metadata time, 93.399, s
train raw read time per epoch, "16.730, 22.159, 23.320, 20.309, 24.738", "s, s, s, s, s"
train total raw read time, 107.256, s
train raw read rate per epoch, "241.005, 181.953, 172.896, 198.536, 162.990", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 191.476, MB/s
train observed time per epoch, "85.908, 85.399, 88.522, 87.663, 80.706", "s, s, s, s, s"
train observed time, 428.197, s
train observed rate per epoch, "48.577, 48.877, 47.095, 47.571, 51.825", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 48.789, MB/s
train throughput samples per second per epoch, "0.733, 0.738, 0.712, 0.719, 0.781", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 0.736, samples/s
train throughput stdev samples per second, 0.024, samples/s
train io avg, 47.130, MB/s
train io stdev, 1.538, MB/s
eval total size, 120.000, GB
eval size per rank, 1.000, GB
eval emulated compute time per epoch, "2.584, 2.584, 2.584, 2.584, 2.584", "s, s, s, s, s"
eval emulated compute time, 12.920, s
eval metadata time per epoch, "5.326, 5.079, 4.756, 4.976, 3.778", "s, s, s, s, s"
eval metadata time, 23.915, s
eval raw read time per epoch, "6.495, 7.309, 7.179, 6.396, 7.067", "s, s, s, s, s"
eval total raw read time, 34.446, s
eval raw read rate per epoch, "157.355, 139.236, 142.097, 159.263, 144.004", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 149.080, MB/s
eval observed time per epoch, "28.400, 29.560, 29.704, 28.307, 29.420", "s, s, s, s, s"
eval observed time, 145.392, s
eval observed rate per epoch, "39.665, 37.959, 37.757, 39.809, 38.157", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 38.669, MB/s
eval throughput samples per second per epoch, "0.563, 0.541, 0.539, 0.565, 0.544", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.550, samples/s
eval throughput stdev samples per second, 0.011, samples/s
eval io avg, 35.229, MB/s
eval io stdev, 749.046, KB/s
