metric, value, unit
operation, dlio,
ranks, 120,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 472.500, GB
train size per rank, 3.938, GB
train emulated compute time per epoch, "2.907, 2.907, 2.907, 2.907, 2.907", "s, s, s, s, s"
train emulated compute time, 14.535, s
train metadata time per epoch, "34.564, 34.301, 33.404, 34.593, 35.018", "s, s, s, s, s"
train metadata time, 171.880, s
train raw read time per epoch, "16.794, 17.530, 20.315, 18.865, 15.096", "s, s, s, s, s"
train total raw read time, 88.600, s
train raw read rate per epoch, "240.082, 230.001, 198.473, 213.733, 267.089", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 229.876, MB/s
train observed time per epoch, "117.974, 154.751, 130.671, 141.034, 124.225", "s, s, s, s, s"
train observed time, 668.656, s
train observed rate per epoch, "35.040, 26.553, 31.558, 29.190, 33.234", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 31.115, MB/s
train throughput samples per second per epoch, "0.534, 0.407, 0.482, 0.447, 0.507", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 0.475, samples/s
train throughput stdev samples per second, 0.045, samples/s
train io avg, 30.427, MB/s
train io stdev, 2.858, MB/s
eval total size, 120.000, GB
eval size per rank, 1.000, GB
eval emulated compute time per epoch, "2.584, 2.584, 2.584, 2.584, 2.584", "s, s, s, s, s"
eval emulated compute time, 12.920, s
eval metadata time per epoch, "9.733, 9.026, 10.071, 8.914, 9.109", "s, s, s, s, s"
eval metadata time, 46.853, s
eval raw read time per epoch, "6.691, 8.187, 7.384, 8.047, 7.284", "s, s, s, s, s"
eval total raw read time, 37.593, s
eval raw read rate per epoch, "152.588, 124.931, 138.282, 126.838, 140.189", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 136.924, MB/s
eval observed time per epoch, "66.213, 73.678, 63.344, 67.751, 53.529", "s, s, s, s, s"
eval observed time, 324.514, s
eval observed rate per epoch, "16.093, 14.403, 16.853, 15.713, 20.100", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 16.632, MB/s
eval throughput samples per second per epoch, "0.242, 0.217, 0.253, 0.236, 0.299", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.249, samples/s
eval throughput stdev samples per second, 0.027, samples/s
eval io avg, 15.954, MB/s
eval io stdev, 1.749, MB/s
