metric, value, unit
operation, dlio,
ranks, 120,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 472.500, GB
train size per rank, 3.938, GB
train emulated compute time per epoch, "2.907, 2.907, 2.907, 2.907, 2.907", "s, s, s, s, s"
train emulated compute time, 14.535, s
train metadata time per epoch, "38.518, 37.827, 32.394, 32.871, 29.863", "s, s, s, s, s"
train metadata time, 171.473, s
train raw read time per epoch, "45.413, 41.707, 46.116, 46.024, 49.018", "s, s, s, s, s"
train total raw read time, 228.278, s
train raw read rate per epoch, "88.784, 96.674, 87.432, 87.606, 82.255", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 88.550, MB/s
train observed time per epoch, "100.449, 94.844, 91.443, 91.612, 96.175", "s, s, s, s, s"
train observed time, 474.525, s
train observed rate per epoch, "41.335, 43.855, 45.540, 45.453, 43.229", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 43.883, MB/s
train throughput samples per second per epoch, "0.627, 0.664, 0.689, 0.688, 0.655", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 0.665, samples/s
train throughput stdev samples per second, 0.023, samples/s
train io avg, 42.535, MB/s
train io stdev, 1.464, MB/s
eval total size, 120.000, GB
eval size per rank, 1.000, GB
eval emulated compute time per epoch, "2.584, 2.584, 2.584, 2.584, 2.584", "s, s, s, s, s"
eval emulated compute time, 12.920, s
eval metadata time per epoch, "7.608, 6.474, 7.948, 7.089, 7.149", "s, s, s, s, s"
eval metadata time, 36.268, s
eval raw read time per epoch, "10.925, 11.113, 12.631, 12.712, 12.601", "s, s, s, s, s"
eval total raw read time, 59.981, s
eval raw read rate per epoch, "93.460, 91.553, 81.062, 80.108, 81.062", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 85.753, MB/s
eval observed time per epoch, "31.755, 30.168, 33.075, 31.975, 32.820", "s, s, s, s, s"
eval observed time, 159.792, s
eval observed rate per epoch, "35.104, 37.123, 33.583, 34.840, 33.867", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 34.903, MB/s
eval throughput samples per second per epoch, "0.504, 0.530, 0.484, 0.500, 0.488", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.501, samples/s
eval throughput stdev samples per second, 0.016, samples/s
eval io avg, 32.075, MB/s
eval io stdev, 1.051, MB/s
