metric, value, unit
operation, dlio,
ranks, 120,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 472.500, GB
train size per rank, 3.938, GB
train emulated compute time per epoch, "2.907, 2.907, 2.907, 2.907, 2.907", "s, s, s, s, s"
train emulated compute time, 14.535, s
train metadata time per epoch, "14.289, 15.839, 16.346, 18.929, 17.891", "s, s, s, s, s"
train metadata time, 83.294, s
train raw read time per epoch, "19.056, 20.813, 23.395, 31.897, 32.796", "s, s, s, s, s"
train total raw read time, 127.957, s
train raw read rate per epoch, "211.586, 193.727, 172.342, 126.405, 122.942", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 165.400, MB/s
train observed time per epoch, "85.011, 88.251, 86.349, 87.904, 87.883", "s, s, s, s, s"
train observed time, 435.398, s
train observed rate per epoch, "49.108, 47.244, 48.320, 47.437, 47.448", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 47.911, MB/s
train throughput samples per second per epoch, "0.741, 0.714, 0.730, 0.717, 0.717", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 0.724, samples/s
train throughput stdev samples per second, 0.010, samples/s
train io avg, 46.312, MB/s
train io stdev, 674.358, KB/s
eval total size, 120.000, GB
eval size per rank, 1.000, GB
eval emulated compute time per epoch, "2.584, 2.584, 2.584, 2.584, 2.584", "s, s, s, s, s"
eval emulated compute time, 12.920, s
eval metadata time per epoch, "4.728, 4.252, 4.269, 4.910, 4.691", "s, s, s, s, s"
eval metadata time, 22.850, s
eval raw read time per epoch, "6.954, 7.030, 7.869, 9.831, 8.071", "s, s, s, s, s"
eval total raw read time, 39.754, s
eval raw read rate per epoch, "146.865, 144.958, 129.699, 103.950, 126.838", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 130.818, MB/s
eval observed time per epoch, "29.126, 29.296, 30.360, 31.055, 31.945", "s, s, s, s, s"
eval observed time, 151.781, s
eval observed rate per epoch, "38.581, 38.335, 36.866, 35.966, 34.876", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 36.925, MB/s
eval throughput samples per second per epoch, "0.549, 0.546, 0.527, 0.515, 0.501", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.528, samples/s
eval throughput stdev samples per second, 0.018, samples/s
eval io avg, 33.773, MB/s
eval io stdev, 1.175, MB/s
