metric, value, unit
operation, dlio,
ranks, 120,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 472.500, GB
train size per rank, 3.938, GB
train emulated compute time per epoch, "2.907, 2.907, 2.907, 2.907, 2.907", "s, s, s, s, s"
train emulated compute time, 14.535, s
train metadata time per epoch, "41.164, 41.056, 40.229, 39.793, 42.170", "s, s, s, s, s"
train metadata time, 204.411, s
train raw read time per epoch, "17.282, 18.219, 19.612, 22.697, 23.944", "s, s, s, s, s"
train total raw read time, 101.754, s
train raw read rate per epoch, "233.305, 221.303, 205.590, 177.648, 168.391", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 201.247, MB/s
train observed time per epoch, "105.661, 170.041, 167.837, 184.567, 169.170", "s, s, s, s, s"
train observed time, 797.276, s
train observed rate per epoch, "39.239, 24.124, 24.446, 22.194, 24.250", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 26.851, MB/s
train throughput samples per second per epoch, "0.596, 0.370, 0.375, 0.341, 0.372", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 0.411, samples/s
train throughput stdev samples per second, 0.093, samples/s
train io avg, 26.314, MB/s
train io stdev, 5.974, MB/s
eval total size, 120.000, GB
eval size per rank, 1.000, GB
eval emulated compute time per epoch, "2.584, 2.584, 2.584, 2.584, 2.584", "s, s, s, s, s"
eval emulated compute time, 12.920, s
eval metadata time per epoch, "10.586, 11.292, 11.282, 11.270, 11.990", "s, s, s, s, s"
eval metadata time, 56.420, s
eval raw read time per epoch, "7.729, 8.763, 7.824, 8.465, 9.446", "s, s, s, s, s"
eval total raw read time, 42.227, s
eval raw read rate per epoch, "131.606, 116.348, 130.653, 120.162, 107.765", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 121.919, MB/s
eval observed time per epoch, "77.689, 76.228, 98.924, 102.384, 76.929", "s, s, s, s, s"
eval observed time, 432.154, s
eval observed rate per epoch, "13.634, 13.904, 10.629, 10.260, 13.773", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 12.440, MB/s
eval throughput samples per second per epoch, "0.206, 0.210, 0.162, 0.156, 0.208", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.188, samples/s
eval throughput stdev samples per second, 0.024, samples/s
eval io avg, 12.055, MB/s
eval io stdev, 1.540, MB/s
