metric, value, unit
operation, dlio,
ranks, 120,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 472.500, GB
train size per rank, 3.938, GB
train emulated compute time per epoch, "2.907, 2.907, 2.907, 2.907, 2.907", "s, s, s, s, s"
train emulated compute time, 14.535, s
train metadata time per epoch, "19.353, 17.180, 17.632, 18.374, 18.879", "s, s, s, s, s"
train metadata time, 91.418, s
train raw read time per epoch, "23.110, 20.690, 18.025, 19.719, 22.915", "s, s, s, s, s"
train total raw read time, 104.458, s
train raw read rate per epoch, "174.473, 194.875, 223.694, 204.474, 175.951", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 194.693, MB/s
train observed time per epoch, "104.226, 106.372, 91.001, 87.602, 87.599", "s, s, s, s, s"
train observed time, 476.799, s
train observed rate per epoch, "39.795, 38.969, 45.769, 47.605, 47.607", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 43.949, MB/s
train throughput samples per second per epoch, "0.604, 0.592, 0.692, 0.719, 0.719", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 0.665, samples/s
train throughput stdev samples per second, 0.056, samples/s
train io avg, 42.590, MB/s
train io stdev, 3.571, MB/s
eval total size, 120.000, GB
eval size per rank, 1.000, GB
eval emulated compute time per epoch, "2.584, 2.584, 2.584, 2.584, 2.584", "s, s, s, s, s"
eval emulated compute time, 12.920, s
eval metadata time per epoch, "4.765, 5.257, 6.012, 4.666, 5.729", "s, s, s, s, s"
eval metadata time, 26.430, s
eval raw read time per epoch, "6.711, 5.453, 6.636, 5.893, 7.766", "s, s, s, s, s"
eval total raw read time, 32.459, s
eval raw read rate per epoch, "151.634, 186.920, 153.541, 173.568, 131.606", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 160.062, MB/s
eval observed time per epoch, "41.699, 61.386, 28.565, 29.950, 30.243", "s, s, s, s, s"
eval observed time, 191.842, s
eval observed rate per epoch, "26.179, 17.414, 39.414, 37.418, 37.021", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 31.489, MB/s
eval throughput samples per second per epoch, "0.384, 0.261, 0.560, 0.534, 0.529", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.454, samples/s
eval throughput stdev samples per second, 0.115, samples/s
eval io avg, 29.026, MB/s
eval io stdev, 7.334, MB/s
