metric, value, unit
operation, dlio,
ranks, 120,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 472.500, GB
train size per rank, 3.938, GB
train emulated compute time per epoch, "2.907, 2.907, 2.907, 2.907, 2.907", "s, s, s, s, s"
train emulated compute time, 14.535, s
train metadata time per epoch, "16.551, 15.539, 17.837, 17.838, 17.826", "s, s, s, s, s"
train metadata time, 85.592, s
train raw read time per epoch, "31.392, 34.115, 33.758, 35.363, 31.101", "s, s, s, s, s"
train total raw read time, 165.729, s
train raw read rate per epoch, "128.439, 118.188, 119.438, 114.017, 129.643", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 121.944, MB/s
train observed time per epoch, "125.175, 133.748, 136.372, 163.164, 220.840", "s, s, s, s, s"
train observed time, 779.298, s
train observed rate per epoch, "32.977, 30.815, 30.210, 25.159, 18.501", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 27.532, MB/s
train throughput samples per second per epoch, "0.503, 0.471, 0.462, 0.386, 0.285", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 0.422, samples/s
train throughput stdev samples per second, 0.078, samples/s
train io avg, 26.978, MB/s
train io stdev, 5.006, MB/s
eval total size, 120.000, GB
eval size per rank, 1.000, GB
eval emulated compute time per epoch, "2.584, 2.584, 2.584, 2.584, 2.584", "s, s, s, s, s"
eval emulated compute time, 12.920, s
eval metadata time per epoch, "3.635, 3.322, 2.903, 2.813, 4.366", "s, s, s, s, s"
eval metadata time, 17.039, s
eval raw read time per epoch, "8.799, 9.242, 9.948, 10.408, 8.663", "s, s, s, s, s"
eval total raw read time, 47.060, s
eval raw read rate per epoch, "116.348, 110.626, 102.043, 98.228, 117.302", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 109.340, MB/s
eval observed time per epoch, "49.448, 40.286, 57.307, 68.134, 89.286", "s, s, s, s, s"
eval observed time, 304.461, s
eval observed rate per epoch, "21.850, 27.160, 18.712, 15.621, 11.810", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 19.030, MB/s
eval throughput samples per second per epoch, "0.324, 0.397, 0.279, 0.235, 0.179", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.283, samples/s
eval throughput stdev samples per second, 0.075, samples/s
eval io avg, 18.099, MB/s
eval io stdev, 4.771, MB/s
