metric, value, unit
operation, dlio,
ranks, 120,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 472.500, GB
train size per rank, 3.938, GB
train emulated compute time per epoch, "2.907, 2.907, 2.907, 2.907, 2.907", "s, s, s, s, s"
train emulated compute time, 14.535, s
train metadata time per epoch, "19.853, 19.763, 18.749, 20.736, 19.502", "s, s, s, s, s"
train metadata time, 98.603, s
train raw read time per epoch, "21.933, 20.808, 26.830, 22.879, 27.510", "s, s, s, s, s"
train total raw read time, 119.961, s
train raw read rate per epoch, "183.830, 193.771, 150.278, 176.230, 146.562", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 170.135, MB/s
train observed time per epoch, "84.415, 85.125, 81.450, 80.339, 84.010", "s, s, s, s, s"
train observed time, 415.338, s
train observed rate per epoch, "49.467, 49.040, 51.335, 52.071, 49.714", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 50.325, MB/s
train throughput samples per second per epoch, "0.746, 0.740, 0.773, 0.784, 0.750", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 0.759, samples/s
train throughput stdev samples per second, 0.017, samples/s
train io avg, 48.562, MB/s
train io stdev, 1.087, MB/s
eval total size, 120.000, GB
eval size per rank, 1.000, GB
eval emulated compute time per epoch, "2.584, 2.584, 2.584, 2.584, 2.584", "s, s, s, s, s"
eval emulated compute time, 12.920, s
eval metadata time per epoch, "5.369, 4.570, 5.155, 5.771, 4.913", "s, s, s, s, s"
eval metadata time, 25.778, s
eval raw read time per epoch, "7.501, 6.812, 8.777, 6.254, 8.877", "s, s, s, s, s"
eval total raw read time, 38.220, s
eval raw read rate per epoch, "136.375, 149.727, 116.348, 163.078, 114.440", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 136.521, MB/s
eval observed time per epoch, "29.777, 29.224, 28.692, 29.296, 30.464", "s, s, s, s, s"
eval observed time, 147.452, s
eval observed rate per epoch, "37.656, 38.438, 39.222, 38.335, 36.729", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 38.076, MB/s
eval throughput samples per second per epoch, "0.537, 0.547, 0.558, 0.546, 0.525", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.543, samples/s
eval throughput stdev samples per second, 0.011, samples/s
eval io avg, 34.736, MB/s
eval io stdev, 713.795, KB/s
