metric, value, unit
operation, dlio,
ranks, 120,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 472.500, GB
train size per rank, 3.938, GB
train emulated compute time per epoch, "2.907, 2.907, 2.907, 2.907, 2.907", "s, s, s, s, s"
train emulated compute time, 14.535, s
train metadata time per epoch, "13.819, 19.190, 15.120, 14.594, 14.767", "s, s, s, s, s"
train metadata time, 77.489, s
train raw read time per epoch, "20.716, 24.168, 22.062, 21.399, 22.485", "s, s, s, s, s"
train total raw read time, 110.830, s
train raw read rate per epoch, "194.630, 166.832, 182.755, 188.423, 179.321", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 182.393, MB/s
train observed time per epoch, "74.386, 74.843, 78.674, 79.407, 78.420", "s, s, s, s, s"
train observed time, 385.730, s
train observed rate per epoch, "56.407, 56.049, 53.215, 52.705, 53.395", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 54.354, MB/s
train throughput samples per second per epoch, "0.847, 0.842, 0.801, 0.793, 0.803", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 0.817, samples/s
train throughput stdev samples per second, 0.022, samples/s
train io avg, 52.303, MB/s
train io stdev, 1.435, MB/s
eval total size, 120.000, GB
eval size per rank, 1.000, GB
eval emulated compute time per epoch, "2.584, 2.584, 2.584, 2.584, 2.584", "s, s, s, s, s"
eval emulated compute time, 12.920, s
eval metadata time per epoch, "3.518, 4.192, 4.305, 3.959, 3.919", "s, s, s, s, s"
eval metadata time, 19.893, s
eval raw read time per epoch, "5.363, 6.758, 7.037, 5.455, 7.153", "s, s, s, s, s"
eval total raw read time, 31.766, s
eval raw read rate per epoch, "190.734, 150.680, 144.958, 186.920, 143.051", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 163.770, MB/s
eval observed time per epoch, "30.092, 26.625, 28.061, 26.524, 27.139", "s, s, s, s, s"
eval observed time, 138.441, s
eval observed rate per epoch, "37.225, 42.593, 40.193, 42.773, 41.701", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 40.897, MB/s
eval throughput samples per second per epoch, "0.532, 0.601, 0.570, 0.603, 0.590", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.579, samples/s
eval throughput stdev samples per second, 0.026, samples/s
eval io avg, 37.063, MB/s
eval io stdev, 1.691, MB/s
