metric, value, unit
operation, dlio,
ranks, 144,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 504.000, GB
train size per rank, 3.500, GB
train emulated compute time per epoch, "2.584, 2.584, 2.584, 2.584, 2.584", "s, s, s, s, s"
train emulated compute time, 12.920, s
train metadata time per epoch, "13.992, 14.718, 22.575, 14.158, 14.008", "s, s, s, s, s"
train metadata time, 79.453, s
train raw read time per epoch, "12.854, 14.937, 29.096, 14.443, 14.780", "s, s, s, s, s"
train total raw read time, 86.111, s
train raw read rate per epoch, "278.821, 239.939, 123.178, 248.141, 242.489", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 226.514, MB/s
train observed time per epoch, "116.597, 181.167, 154.479, 142.669, 142.910", "s, s, s, s, s"
train observed time, 737.822, s
train observed rate per epoch, "31.435, 20.068, 23.595, 25.584, 25.540", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 25.244, MB/s
train throughput samples per second per epoch, "0.480, 0.309, 0.363, 0.393, 0.392", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 0.387, samples/s
train throughput stdev samples per second, 0.056, samples/s
train io avg, 24.784, MB/s
train io stdev, 3.554, MB/s
eval total size, 126.000, GB
eval size per rank, 896.000, MB
eval emulated compute time per epoch, "2.261, 2.261, 2.261, 2.261, 2.261", "s, s, s, s, s"
eval emulated compute time, 11.305, s
eval metadata time per epoch, "4.280, 3.801, 3.606, 4.543, 4.723", "s, s, s, s, s"
eval metadata time, 20.953, s
eval raw read time per epoch, "4.858, 5.004, 6.583, 5.495, 4.379", "s, s, s, s, s"
eval total raw read time, 26.319, s
eval raw read rate per epoch, "184.059, 178.337, 135.421, 162.124, 204.086", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 173.458, MB/s
eval observed time per epoch, "99.692, 95.943, 66.224, 66.859, 70.639", "s, s, s, s, s"
eval observed time, 399.357, s
eval observed rate per epoch, "9.195, 9.563, 14.008, 13.870, 13.104", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 11.948, MB/s
eval throughput samples per second per epoch, "0.140, 0.146, 0.211, 0.209, 0.198", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.181, samples/s
eval throughput stdev samples per second, 0.031, samples/s
eval io avg, 11.588, MB/s
eval io stdev, 2.004, MB/s
