metric, value, unit
operation, dlio,
ranks, 144,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 504.000, GB
train size per rank, 3.500, GB
train emulated compute time per epoch, "2.584, 2.584, 2.584, 2.584, 2.584", "s, s, s, s, s"
train emulated compute time, 12.920, s
train metadata time per epoch, "16.760, 16.259, 16.609, 15.611, 14.857", "s, s, s, s, s"
train metadata time, 80.095, s
train raw read time per epoch, "22.015, 23.755, 26.650, 25.519, 15.545", "s, s, s, s, s"
train total raw read time, 113.484, s
train raw read rate per epoch, "162.796, 150.875, 134.485, 140.442, 230.556", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 163.831, MB/s
train observed time per epoch, "140.883, 147.790, 126.300, 143.604, 131.228", "s, s, s, s, s"
train observed time, 689.805, s
train observed rate per epoch, "25.914, 24.682, 28.969, 25.414, 27.859", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 26.567, MB/s
train throughput samples per second per epoch, "0.397, 0.379, 0.443, 0.390, 0.427", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 0.407, samples/s
train throughput stdev samples per second, 0.024, samples/s
train io avg, 26.066, MB/s
train io stdev, 1.536, MB/s
eval total size, 126.000, GB
eval size per rank, 896.000, MB
eval emulated compute time per epoch, "2.261, 2.261, 2.261, 2.261, 2.261", "s, s, s, s, s"
eval emulated compute time, 11.305, s
eval metadata time per epoch, "3.902, 4.009, 4.726, 4.293, 4.897", "s, s, s, s, s"
eval metadata time, 21.828, s
eval raw read time per epoch, "5.996, 6.648, 6.532, 6.338, 5.031", "s, s, s, s, s"
eval total raw read time, 30.547, s
eval raw read rate per epoch, "148.772, 134.468, 136.375, 141.144, 177.383", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 148.161, MB/s
eval observed time per epoch, "48.439, 49.352, 48.570, 50.300, 51.737", "s, s, s, s, s"
eval observed time, 248.398, s
eval observed rate per epoch, "19.402, 19.026, 19.348, 18.651, 18.109", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 18.907, MB/s
eval throughput samples per second per epoch, "0.289, 0.284, 0.288, 0.278, 0.271", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.282, samples/s
eval throughput stdev samples per second, 0.007, samples/s
eval io avg, 18.046, MB/s
eval io stdev, 448.829, KB/s
