metric, value, unit
operation, dlio,
ranks, 144,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 504.000, GB
train size per rank, 3.500, GB
train emulated compute time per epoch, "2.584, 2.584, 2.584, 2.584, 2.584", "s, s, s, s, s"
train emulated compute time, 12.920, s
train metadata time per epoch, "10.500, 12.128, 10.732, 10.103, 10.901", "s, s, s, s, s"
train metadata time, 54.365, s
train raw read time per epoch, "15.279, 17.195, 17.403, 17.503, 17.147", "s, s, s, s, s"
train total raw read time, 84.527, s
train raw read rate per epoch, "234.569, 208.432, 205.938, 204.768, 209.017", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 212.545, MB/s
train observed time per epoch, "50.305, 60.443, 63.398, 62.548, 61.768", "s, s, s, s, s"
train observed time, 298.461, s
train observed rate per epoch, "75.104, 61.942, 58.934, 59.769, 60.557", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 63.261, MB/s
train throughput samples per second per epoch, "1.113, 0.926, 0.883, 0.895, 0.907", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 0.945, samples/s
train throughput stdev samples per second, 0.085, samples/s
train io avg, 60.479, MB/s
train io stdev, 5.459, MB/s
eval total size, 126.000, GB
eval size per rank, 896.000, MB
eval emulated compute time per epoch, "2.261, 2.261, 2.261, 2.261, 2.261", "s, s, s, s, s"
eval emulated compute time, 11.305, s
eval metadata time per epoch, "2.866, 2.634, 3.209, 2.458, 3.161", "s, s, s, s, s"
eval metadata time, 14.328, s
eval raw read time per epoch, "4.446, 5.335, 4.682, 5.686, 4.965", "s, s, s, s, s"
eval total raw read time, 25.115, s
eval raw read rate per epoch, "201.225, 167.847, 190.734, 157.355, 180.244", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 179.772, MB/s
eval observed time per epoch, "19.666, 21.275, 21.249, 21.638, 22.140", "s, s, s, s, s"
eval observed time, 105.969, s
eval observed rate per epoch, "51.479, 47.124, 47.187, 46.239, 45.071", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 47.420, MB/s
eval throughput samples per second per epoch, "0.712, 0.658, 0.659, 0.647, 0.632", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.662, samples/s
eval throughput stdev samples per second, 0.027, samples/s
eval io avg, 42.344, MB/s
eval io stdev, 1.722, MB/s
