metric, value, unit
operation, dlio,
ranks, 144,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 504.000, GB
train size per rank, 3.500, GB
train emulated compute time per epoch, "2.584, 2.584, 2.584, 2.584, 2.584", "s, s, s, s, s"
train emulated compute time, 12.920, s
train metadata time per epoch, "11.094, 12.462, 11.596, 12.346, 12.878", "s, s, s, s, s"
train metadata time, 60.376, s
train raw read time per epoch, "14.991, 16.774, 16.976, 18.773, 19.431", "s, s, s, s, s"
train total raw read time, 86.944, s
train raw read rate per epoch, "239.073, 213.663, 211.125, 190.916, 184.451", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 207.846, MB/s
train observed time per epoch, "51.775, 62.201, 62.449, 60.506, 62.623", "s, s, s, s, s"
train observed time, 299.554, s
train observed rate per epoch, "72.858, 60.117, 59.868, 61.875, 59.694", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 62.883, MB/s
train throughput samples per second per epoch, "1.082, 0.900, 0.897, 0.926, 0.894", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 0.940, samples/s
train throughput stdev samples per second, 0.072, samples/s
train io avg, 60.139, MB/s
train io stdev, 4.597, MB/s
eval total size, 126.000, GB
eval size per rank, 896.000, MB
eval emulated compute time per epoch, "2.261, 2.261, 2.261, 2.261, 2.261", "s, s, s, s, s"
eval emulated compute time, 11.305, s
eval metadata time per epoch, "3.757, 3.215, 3.122, 2.650, 3.108", "s, s, s, s, s"
eval metadata time, 15.851, s
eval raw read time per epoch, "3.118, 3.822, 5.391, 4.880, 5.099", "s, s, s, s, s"
eval total raw read time, 22.309, s
eval raw read rate per epoch, "287.056, 233.649, 165.938, 183.105, 175.476", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 209.468, MB/s
eval observed time per epoch, "19.449, 19.986, 22.261, 21.542, 22.094", "s, s, s, s, s"
eval observed time, 105.333, s
eval observed rate per epoch, "52.129, 50.549, 44.799, 46.470, 45.177", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 47.824, MB/s
eval throughput samples per second per epoch, "0.720, 0.700, 0.629, 0.650, 0.634", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.667, samples/s
eval throughput stdev samples per second, 0.037, samples/s
eval io avg, 42.658, MB/s
eval io stdev, 2.354, MB/s
