metric, value, unit
operation, dlio,
ranks, 144,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 504.000, GB
train size per rank, 3.500, GB
train emulated compute time per epoch, "2.584, 2.584, 2.584, 2.584, 2.584", "s, s, s, s, s"
train emulated compute time, 12.920, s
train metadata time per epoch, "9.503, 11.092, 12.601, 12.137, 11.782", "s, s, s, s, s"
train metadata time, 57.116, s
train raw read time per epoch, "16.841, 18.518, 19.179, 18.827, 18.034", "s, s, s, s, s"
train total raw read time, 91.399, s
train raw read rate per epoch, "212.810, 193.546, 186.874, 190.362, 198.732", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 196.465, MB/s
train observed time per epoch, "49.534, 60.225, 63.208, 62.092, 62.087", "s, s, s, s, s"
train observed time, 297.147, s
train observed rate per epoch, "76.336, 62.177, 59.118, 60.227, 60.231", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 63.618, MB/s
train throughput samples per second per epoch, "1.131, 0.930, 0.886, 0.902, 0.902", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 0.950, samples/s
train throughput stdev samples per second, 0.091, samples/s
train io avg, 60.802, MB/s
train io stdev, 5.846, MB/s
eval total size, 126.000, GB
eval size per rank, 896.000, MB
eval emulated compute time per epoch, "2.261, 2.261, 2.261, 2.261, 2.261", "s, s, s, s, s"
eval emulated compute time, 11.305, s
eval metadata time per epoch, "3.007, 2.678, 2.165, 2.619, 2.436", "s, s, s, s, s"
eval metadata time, 12.905, s
eval raw read time per epoch, "4.762, 5.275, 4.850, 4.658, 4.715", "s, s, s, s, s"
eval total raw read time, 24.260, s
eval raw read rate per epoch, "187.873, 169.754, 184.059, 191.688, 189.780", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 185.029, MB/s
eval observed time per epoch, "21.305, 21.122, 21.793, 21.953, 21.447", "s, s, s, s, s"
eval observed time, 107.619, s
eval observed rate per epoch, "47.049, 47.505, 45.874, 45.500, 46.701", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 46.525, MB/s
eval throughput samples per second per epoch, "0.657, 0.663, 0.642, 0.638, 0.653", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.651, samples/s
eval throughput stdev samples per second, 0.009, samples/s
eval io avg, 41.637, MB/s
eval io stdev, 607.148, KB/s
