metric, value, unit
operation, dlio,
ranks, 144,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 504.000, GB
train size per rank, 3.500, GB
train emulated compute time per epoch, "2.584, 2.584, 2.584, 2.584, 2.584", "s, s, s, s, s"
train emulated compute time, 12.920, s
train metadata time per epoch, "11.364, 12.335, 13.148, 12.003, 12.630", "s, s, s, s, s"
train metadata time, 61.481, s
train raw read time per epoch, "14.585, 18.054, 18.351, 16.506, 17.331", "s, s, s, s, s"
train total raw read time, 84.827, s
train raw read rate per epoch, "245.728, 198.516, 195.299, 217.132, 206.799", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 212.694, MB/s
train observed time per epoch, "50.230, 60.507, 60.296, 62.714, 61.726", "s, s, s, s, s"
train observed time, 295.473, s
train observed rate per epoch, "75.222, 61.874, 62.102, 59.604, 60.599", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 63.880, MB/s
train throughput samples per second per epoch, "1.115, 0.926, 0.929, 0.893, 0.907", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 0.954, samples/s
train throughput stdev samples per second, 0.082, samples/s
train io avg, 61.047, MB/s
train io stdev, 5.219, MB/s
eval total size, 126.000, GB
eval size per rank, 896.000, MB
eval emulated compute time per epoch, "2.261, 2.261, 2.261, 2.261, 2.261", "s, s, s, s, s"
eval emulated compute time, 11.305, s
eval metadata time per epoch, "3.758, 2.721, 3.099, 3.313, 3.266", "s, s, s, s, s"
eval metadata time, 16.157, s
eval raw read time per epoch, "4.570, 4.707, 4.692, 3.456, 4.631", "s, s, s, s, s"
eval total raw read time, 22.056, s
eval raw read rate per epoch, "195.503, 189.780, 190.734, 258.445, 192.642", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 206.024, MB/s
eval observed time per epoch, "21.489, 20.862, 21.684, 20.687, 23.016", "s, s, s, s, s"
eval observed time, 107.737, s
eval observed rate per epoch, "46.599, 48.169, 46.132, 48.627, 43.170", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 46.539, MB/s
eval throughput samples per second per epoch, "0.651, 0.671, 0.646, 0.677, 0.608", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.651, samples/s
eval throughput stdev samples per second, 0.024, samples/s
eval io avg, 41.642, MB/s
eval io stdev, 1.546, MB/s
