metric, value, unit
operation, dlio,
ranks, 144,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 504.000, GB
train size per rank, 3.500, GB
train emulated compute time per epoch, "2.584, 2.584, 2.584, 2.584, 2.584", "s, s, s, s, s"
train emulated compute time, 12.920, s
train metadata time per epoch, "9.107, 10.915, 12.988, 12.461, 11.753", "s, s, s, s, s"
train metadata time, 57.225, s
train raw read time per epoch, "17.086, 17.220, 19.020, 19.711, 18.430", "s, s, s, s, s"
train total raw read time, 91.467, s
train raw read rate per epoch, "209.757, 208.125, 188.435, 181.827, 194.470", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 196.522, MB/s
train observed time per epoch, "50.587, 59.791, 61.845, 62.325, 60.329", "s, s, s, s, s"
train observed time, 294.877, s
train observed rate per epoch, "74.661, 62.649, 60.478, 59.992, 62.065", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 63.969, MB/s
train throughput samples per second per epoch, "1.107, 0.937, 0.905, 0.899, 0.928", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 0.955, samples/s
train throughput stdev samples per second, 0.077, samples/s
train io avg, 61.131, MB/s
train io stdev, 4.940, MB/s
eval total size, 126.000, GB
eval size per rank, 896.000, MB
eval emulated compute time per epoch, "2.261, 2.261, 2.261, 2.261, 2.261", "s, s, s, s, s"
eval emulated compute time, 11.305, s
eval metadata time per epoch, "2.486, 2.434, 2.711, 2.086, 2.780", "s, s, s, s, s"
eval metadata time, 12.497, s
eval raw read time per epoch, "4.917, 5.307, 4.851, 5.087, 5.008", "s, s, s, s, s"
eval total raw read time, 25.170, s
eval raw read rate per epoch, "182.151, 168.800, 184.059, 175.476, 178.337", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 178.160, MB/s
eval observed time per epoch, "20.187, 22.572, 22.613, 21.833, 21.326", "s, s, s, s, s"
eval observed time, 108.531, s
eval observed rate per epoch, "49.983, 44.114, 44.024, 45.780, 46.996", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 46.180, MB/s
eval throughput samples per second per epoch, "0.694, 0.620, 0.619, 0.641, 0.656", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.646, samples/s
eval throughput stdev samples per second, 0.027, samples/s
eval io avg, 41.351, MB/s
eval io stdev, 1.759, MB/s
