metric, value, unit
operation, dlio,
ranks, 144,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 504.000, GB
train size per rank, 3.500, GB
train emulated compute time per epoch, "2.584, 2.584, 2.584, 2.584, 2.584", "s, s, s, s, s"
train emulated compute time, 12.920, s
train metadata time per epoch, "14.522, 15.758, 15.452, 16.138, 14.085", "s, s, s, s, s"
train metadata time, 75.955, s
train raw read time per epoch, "20.982, 22.068, 24.148, 22.657, 15.440", "s, s, s, s, s"
train total raw read time, 105.295, s
train raw read rate per epoch, "170.816, 162.403, 148.419, 158.183, 232.129", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 174.390, MB/s
train observed time per epoch, "90.977, 97.232, 118.029, 101.149, 110.160", "s, s, s, s, s"
train observed time, 517.546, s
train observed rate per epoch, "40.546, 37.866, 31.045, 36.361, 33.315", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 35.827, MB/s
train throughput samples per second per epoch, "0.616, 0.576, 0.474, 0.554, 0.508", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 0.546, samples/s
train throughput stdev samples per second, 0.050, samples/s
train io avg, 34.917, MB/s
train io stdev, 3.177, MB/s
eval total size, 126.000, GB
eval size per rank, 896.000, MB
eval emulated compute time per epoch, "2.261, 2.261, 2.261, 2.261, 2.261", "s, s, s, s, s"
eval emulated compute time, 11.305, s
eval metadata time per epoch, "2.932, 2.971, 2.819, 3.081, 3.191", "s, s, s, s, s"
eval metadata time, 14.994, s
eval raw read time per epoch, "6.789, 7.194, 7.391, 6.496, 5.824", "s, s, s, s, s"
eval total raw read time, 33.694, s
eval raw read rate per epoch, "131.606, 123.978, 121.116, 137.329, 153.541", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 133.906, MB/s
eval observed time per epoch, "50.955, 48.836, 50.504, 40.814, 38.387", "s, s, s, s, s"
eval observed time, 229.495, s
eval observed rate per epoch, "18.400, 19.237, 18.572, 23.240, 24.802", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 20.851, MB/s
eval throughput samples per second per epoch, "0.275, 0.287, 0.277, 0.343, 0.365", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.309, samples/s
eval throughput stdev samples per second, 0.037, samples/s
eval io avg, 19.793, MB/s
eval io stdev, 2.385, MB/s
