metric, value, unit
operation, dlio,
ranks, 144,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 504.000, GB
train size per rank, 3.500, GB
train emulated compute time per epoch, "2.584, 2.584, 2.584, 2.584, 2.584", "s, s, s, s, s"
train emulated compute time, 12.920, s
train metadata time per epoch, "9.530, 12.585, 11.835, 12.179, 12.020", "s, s, s, s, s"
train metadata time, 58.149, s
train raw read time per epoch, "17.174, 16.659, 17.228, 17.782, 17.582", "s, s, s, s, s"
train total raw read time, 86.425, s
train raw read rate per epoch, "208.685, 215.134, 208.036, 201.552, 203.850", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 207.451, MB/s
train observed time per epoch, "53.227, 59.555, 60.496, 61.266, 61.619", "s, s, s, s, s"
train observed time, 296.162, s
train observed rate per epoch, "70.770, 62.909, 61.887, 61.075, 60.710", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 63.470, MB/s
train throughput samples per second per epoch, "1.052, 0.940, 0.926, 0.914, 0.909", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 0.948, samples/s
train throughput stdev samples per second, 0.053, samples/s
train io avg, 60.684, MB/s
train io stdev, 3.396, MB/s
eval total size, 126.000, GB
eval size per rank, 896.000, MB
eval emulated compute time per epoch, "2.261, 2.261, 2.261, 2.261, 2.261", "s, s, s, s, s"
eval emulated compute time, 11.305, s
eval metadata time per epoch, "3.143, 3.611, 3.513, 4.182, 2.644", "s, s, s, s, s"
eval metadata time, 17.093, s
eval raw read time per epoch, "3.585, 4.294, 4.058, 4.710, 4.639", "s, s, s, s, s"
eval total raw read time, 21.286, s
eval raw read rate per epoch, "249.862, 207.900, 220.298, 189.780, 192.642", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 212.558, MB/s
eval observed time per epoch, "19.538, 21.632, 21.352, 22.331, 23.296", "s, s, s, s, s"
eval observed time, 108.148, s
eval observed rate per epoch, "51.861, 46.254, 46.933, 44.644, 42.596", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 46.458, MB/s
eval throughput samples per second per epoch, "0.717, 0.647, 0.656, 0.627, 0.601", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.649, samples/s
eval throughput stdev samples per second, 0.038, samples/s
eval io avg, 41.565, MB/s
eval io stdev, 2.463, MB/s
