metric, value, unit
operation, dlio,
ranks, 144,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 504.000, GB
train size per rank, 3.500, GB
train emulated compute time per epoch, "2.584, 2.584, 2.584, 2.584, 2.584", "s, s, s, s, s"
train emulated compute time, 12.920, s
train metadata time per epoch, "9.675, 12.473, 11.605, 11.633, 11.503", "s, s, s, s, s"
train metadata time, 56.888, s
train raw read time per epoch, "16.467, 15.841, 16.984, 18.301, 18.578", "s, s, s, s, s"
train total raw read time, 86.171, s
train raw read rate per epoch, "217.645, 226.242, 211.019, 195.840, 192.915", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 208.732, MB/s
train observed time per epoch, "50.148, 61.559, 63.171, 62.492, 60.473", "s, s, s, s, s"
train observed time, 297.843, s
train observed rate per epoch, "75.351, 60.771, 59.154, 59.825, 61.911", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 63.402, MB/s
train throughput samples per second per epoch, "1.117, 0.910, 0.886, 0.896, 0.926", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 0.947, samples/s
train throughput stdev samples per second, 0.086, samples/s
train io avg, 60.607, MB/s
train io stdev, 5.496, MB/s
eval total size, 126.000, GB
eval size per rank, 896.000, MB
eval emulated compute time per epoch, "2.261, 2.261, 2.261, 2.261, 2.261", "s, s, s, s, s"
eval emulated compute time, 11.305, s
eval metadata time per epoch, "3.876, 3.389, 3.110, 3.079, 2.750", "s, s, s, s, s"
eval metadata time, 16.204, s
eval raw read time per epoch, "4.060, 3.542, 4.224, 4.187, 4.583", "s, s, s, s, s"
eval total raw read time, 20.596, s
eval raw read rate per epoch, "220.298, 252.724, 211.715, 213.623, 194.549", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 219.049, MB/s
eval observed time per epoch, "21.873, 21.034, 21.756, 21.814, 21.241", "s, s, s, s, s"
eval observed time, 107.718, s
eval observed rate per epoch, "45.687, 47.727, 45.961, 45.824, 47.207", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 46.481, MB/s
eval throughput samples per second per epoch, "0.640, 0.666, 0.644, 0.642, 0.659", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.650, samples/s
eval throughput stdev samples per second, 0.010, samples/s
eval io avg, 41.601, MB/s
eval io stdev, 676.973, KB/s
