metric, value, unit
operation, dlio,
ranks, 144,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 504.000, GB
train size per rank, 3.500, GB
train emulated compute time per epoch, "2.584, 2.584, 2.584, 2.584, 2.584", "s, s, s, s, s"
train emulated compute time, 12.920, s
train metadata time per epoch, "13.763, 16.977, 20.452, 18.953, 22.762", "s, s, s, s, s"
train metadata time, 92.907, s
train raw read time per epoch, "18.913, 23.406, 24.199, 22.323, 23.975", "s, s, s, s, s"
train total raw read time, 112.816, s
train raw read rate per epoch, "189.504, 153.123, 148.104, 160.550, 149.489", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 160.154, MB/s
train observed time per epoch, "49.039, 60.270, 62.484, 60.589, 64.033", "s, s, s, s, s"
train observed time, 296.414, s
train observed rate per epoch, "77.149, 62.130, 59.832, 61.787, 58.325", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 63.845, MB/s
train throughput samples per second per epoch, "1.142, 0.929, 0.896, 0.924, 0.875", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 0.953, samples/s
train throughput stdev samples per second, 0.096, samples/s
train io avg, 61.006, MB/s
train io stdev, 6.170, MB/s
eval total size, 126.000, GB
eval size per rank, 896.000, MB
eval emulated compute time per epoch, "2.261, 2.261, 2.261, 2.261, 2.261", "s, s, s, s, s"
eval emulated compute time, 11.305, s
eval metadata time per epoch, "3.727, 4.804, 4.152, 3.496, 3.682", "s, s, s, s, s"
eval metadata time, 19.861, s
eval raw read time per epoch, "5.135, 5.523, 3.948, 5.592, 4.631", "s, s, s, s, s"
eval total raw read time, 24.828, s
eval raw read rate per epoch, "173.568, 162.124, 226.974, 160.217, 192.642", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 183.482, MB/s
eval observed time per epoch, "22.198, 21.680, 22.377, 21.447, 21.590", "s, s, s, s, s"
eval observed time, 109.292, s
eval observed rate per epoch, "44.941, 46.141, 44.542, 46.701, 46.354", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 45.735, MB/s
eval throughput samples per second per epoch, "0.631, 0.646, 0.626, 0.653, 0.648", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.641, samples/s
eval throughput stdev samples per second, 0.011, samples/s
eval io avg, 41.002, MB/s
eval io stdev, 692.516, KB/s
