metric, value, unit
operation, dlio,
ranks, 144,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 504.000, GB
train size per rank, 3.500, GB
train emulated compute time per epoch, "2.584, 2.584, 2.584, 2.584, 2.584", "s, s, s, s, s"
train emulated compute time, 12.920, s
train metadata time per epoch, "15.009, 15.276, 16.552, 15.511, 15.667", "s, s, s, s, s"
train metadata time, 78.015, s
train raw read time per epoch, "13.718, 15.215, 14.534, 13.646, 15.115", "s, s, s, s, s"
train total raw read time, 72.228, s
train raw read rate per epoch, "261.263, 235.559, 246.588, 262.648, 237.107", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 248.633, MB/s
train observed time per epoch, "92.692, 140.615, 144.219, 147.255, 154.437", "s, s, s, s, s"
train observed time, 679.218, s
train observed rate per epoch, "39.773, 25.965, 25.304, 24.772, 23.602", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 27.884, MB/s
train throughput samples per second per epoch, "0.604, 0.398, 0.388, 0.380, 0.363", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 0.427, samples/s
train throughput stdev samples per second, 0.089, samples/s
train io avg, 27.310, MB/s
train io stdev, 5.727, MB/s
eval total size, 126.000, GB
eval size per rank, 896.000, MB
eval emulated compute time per epoch, "2.261, 2.261, 2.261, 2.261, 2.261", "s, s, s, s, s"
eval emulated compute time, 11.305, s
eval metadata time per epoch, "5.385, 4.782, 4.897, 4.753, 4.789", "s, s, s, s, s"
eval metadata time, 24.605, s
eval raw read time per epoch, "5.893, 4.600, 3.960, 4.056, 5.416", "s, s, s, s, s"
eval total raw read time, 23.926, s
eval raw read rate per epoch, "151.634, 194.549, 226.021, 220.298, 164.985", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 191.878, MB/s
eval observed time per epoch, "82.424, 88.963, 81.887, 70.984, 83.097", "s, s, s, s, s"
eval observed time, 407.355, s
eval observed rate per epoch, "11.177, 10.334, 11.252, 13.037, 11.084", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 11.377, MB/s
eval throughput samples per second per epoch, "0.170, 0.157, 0.171, 0.197, 0.168", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.173, samples/s
eval throughput stdev samples per second, 0.013, samples/s
eval io avg, 11.058, MB/s
eval io stdev, 862.232, KB/s
