metric, value, unit
operation, dlio,
ranks, 144,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 504.000, GB
train size per rank, 3.500, GB
train emulated compute time per epoch, "2.584, 2.584, 2.584, 2.584, 2.584", "s, s, s, s, s"
train emulated compute time, 12.920, s
train metadata time per epoch, "15.741, 17.315, 18.566, 17.277, 18.285", "s, s, s, s, s"
train metadata time, 87.184, s
train raw read time per epoch, "18.949, 20.647, 20.464, 23.409, 23.221", "s, s, s, s, s"
train total raw read time, 106.690, s
train raw read rate per epoch, "189.135, 173.586, 175.135, 153.104, 154.345", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 169.061, MB/s
train observed time per epoch, "73.372, 126.971, 103.251, 107.794, 100.736", "s, s, s, s, s"
train observed time, 512.124, s
train observed rate per epoch, "50.630, 28.812, 35.602, 34.064, 36.515", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 37.125, MB/s
train throughput samples per second per epoch, "0.763, 0.441, 0.542, 0.520, 0.556", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 0.564, samples/s
train throughput stdev samples per second, 0.107, samples/s
train io avg, 36.122, MB/s
train io stdev, 6.853, MB/s
eval total size, 126.000, GB
eval size per rank, 896.000, MB
eval emulated compute time per epoch, "2.261, 2.261, 2.261, 2.261, 2.261", "s, s, s, s, s"
eval emulated compute time, 11.305, s
eval metadata time per epoch, "4.298, 3.963, 3.894, 3.667, 4.171", "s, s, s, s, s"
eval metadata time, 19.993, s
eval raw read time per epoch, "7.764, 6.231, 6.133, 6.614, 6.721", "s, s, s, s, s"
eval total raw read time, 33.464, s
eval raw read rate per epoch, "115.395, 143.051, 145.912, 135.421, 132.561", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 134.813, MB/s
eval observed time per epoch, "39.400, 51.812, 40.758, 42.779, 52.688", "s, s, s, s, s"
eval observed time, 227.437, s
eval observed rate per epoch, "24.125, 18.082, 23.273, 22.113, 17.768", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 21.072, MB/s
eval throughput samples per second per epoch, "0.355, 0.270, 0.343, 0.327, 0.266", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.312, samples/s
eval throughput stdev samples per second, 0.037, samples/s
eval io avg, 19.993, MB/s
eval io stdev, 2.393, MB/s
