metric, value, unit
operation, dlio,
ranks, 168,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 441.000, GB
train size per rank, 2.625, GB
train emulated compute time per epoch, "1.938, 1.938, 1.938, 1.938, 1.938", "s, s, s, s, s"
train emulated compute time, 9.690, s
train metadata time per epoch, "15.384, 15.345, 14.968, 18.004, 17.497", "s, s, s, s, s"
train metadata time, 81.198, s
train raw read time per epoch, "8.875, 10.881, 12.512, 9.521, 11.119", "s, s, s, s, s"
train total raw read time, 52.909, s
train raw read rate per epoch, "302.865, 247.029, 214.827, 282.316, 241.747", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 257.757, MB/s
train observed time per epoch, "91.758, 92.476, 101.109, 93.595, 120.100", "s, s, s, s, s"
train observed time, 499.038, s
train observed rate per epoch, "29.926, 29.688, 27.104, 29.326, 22.748", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 27.759, MB/s
train throughput samples per second per epoch, "0.458, 0.454, 0.415, 0.449, 0.350", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 0.425, samples/s
train throughput stdev samples per second, 0.041, samples/s
train io avg, 27.209, MB/s
train io stdev, 2.599, MB/s
eval total size, 126.000, GB
eval size per rank, 768.000, MB
eval emulated compute time per epoch, "1.938, 1.938, 1.938, 1.938, 1.938", "s, s, s, s, s"
eval emulated compute time, 9.690, s
eval metadata time per epoch, "4.121, 6.334, 5.097, 4.634, 5.802", "s, s, s, s, s"
eval metadata time, 25.988, s
eval raw read time per epoch, "5.207, 3.987, 4.726, 4.178, 3.877", "s, s, s, s, s"
eval total raw read time, 21.976, s
eval raw read rate per epoch, "146.865, 191.688, 162.124, 183.105, 197.410", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 176.896, MB/s
eval observed time per epoch, "49.493, 56.289, 64.112, 42.834, 69.376", "s, s, s, s, s"
eval observed time, 282.105, s
eval observed rate per epoch, "16.149, 14.130, 12.352, 18.779, 11.388", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 14.560, MB/s
eval throughput samples per second per epoch, "0.242, 0.213, 0.187, 0.280, 0.173", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.219, samples/s
eval throughput stdev samples per second, 0.039, samples/s
eval io avg, 14.027, MB/s
eval io stdev, 2.471, MB/s
