metric, value, unit
operation, dlio,
ranks, 168,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 441.000, GB
train size per rank, 2.625, GB
train emulated compute time per epoch, "1.938, 1.938, 1.938, 1.938, 1.938", "s, s, s, s, s"
train emulated compute time, 9.690, s
train metadata time per epoch, "11.373, 12.602, 12.462, 11.285, 10.489", "s, s, s, s, s"
train metadata time, 58.210, s
train raw read time per epoch, "12.530, 15.841, 13.468, 12.557, 11.201", "s, s, s, s, s"
train total raw read time, 65.596, s
train raw read rate per epoch, "214.533, 169.687, 199.589, 214.062, 239.981", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 207.570, MB/s
train observed time per epoch, "136.601, 98.748, 653.890, 125.505, 121.231", "s, s, s, s, s"
train observed time, 1135.975, s
train observed rate per epoch, "19.961, 27.766, 4.122, 21.753, 22.532", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 19.227, MB/s
train throughput samples per second per epoch, "0.307, 0.425, 0.064, 0.335, 0.346", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 0.296, samples/s
train throughput stdev samples per second, 0.122, samples/s
train io avg, 18.919, MB/s
train io stdev, 7.817, MB/s
eval total size, 126.000, GB
eval size per rank, 768.000, MB
eval emulated compute time per epoch, "1.938, 1.938, 1.938, 1.938, 1.938", "s, s, s, s, s"
eval emulated compute time, 9.690, s
eval metadata time per epoch, "3.277, 4.448, 4.207, 4.210, 4.069", "s, s, s, s, s"
eval metadata time, 20.210, s
eval raw read time per epoch, "5.244, 6.379, 5.234, 3.562, 5.128", "s, s, s, s, s"
eval total raw read time, 25.547, s
eval raw read rate per epoch, "145.912, 120.162, 145.912, 215.530, 149.727", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 155.789, MB/s
eval observed time per epoch, "46.484, 40.309, 31.090, 54.194, 40.731", "s, s, s, s, s"
eval observed time, 212.808, s
eval observed rate per epoch, "17.240, 20.015, 26.344, 14.696, 19.797", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 19.618, MB/s
eval throughput samples per second per epoch, "0.258, 0.298, 0.386, 0.221, 0.295", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.292, samples/s
eval throughput stdev samples per second, 0.055, samples/s
eval io avg, 18.660, MB/s
eval io stdev, 3.505, MB/s
