metric, value, unit
operation, dlio,
ranks, 168,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 441.000, GB
train size per rank, 2.625, GB
train emulated compute time per epoch, "1.938, 1.938, 1.938, 1.938, 1.938", "s, s, s, s, s"
train emulated compute time, 9.690, s
train metadata time per epoch, "8.348, 8.485, 8.237, 8.286, 8.494", "s, s, s, s, s"
train metadata time, 41.849, s
train raw read time per epoch, "11.298, 12.212, 13.158, 12.743, 13.631", "s, s, s, s, s"
train total raw read time, 63.042, s
train raw read rate per epoch, "237.927, 220.115, 204.278, 210.938, 197.194", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 214.091, MB/s
train observed time per epoch, "44.270, 47.881, 48.400, 46.936, 49.714", "s, s, s, s, s"
train observed time, 237.201, s
train observed rate per epoch, "63.498, 58.507, 57.853, 59.735, 56.263", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 59.171, MB/s
train throughput samples per second per epoch, "0.949, 0.877, 0.868, 0.895, 0.845", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 0.887, samples/s
train throughput stdev samples per second, 0.035, samples/s
train io avg, 56.746, MB/s
train io stdev, 2.238, MB/s
eval total size, 126.000, GB
eval size per rank, 768.000, MB
eval emulated compute time per epoch, "1.938, 1.938, 1.938, 1.938, 1.938", "s, s, s, s, s"
eval emulated compute time, 9.690, s
eval metadata time per epoch, "2.005, 2.501, 3.043, 2.377, 1.732", "s, s, s, s, s"
eval metadata time, 11.658, s
eval raw read time per epoch, "3.129, 4.192, 4.274, 3.892, 4.394", "s, s, s, s, s"
eval total raw read time, 19.881, s
eval raw read rate per epoch, "245.094, 183.105, 179.290, 196.456, 174.521", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 196.088, MB/s
eval observed time per epoch, "15.929, 18.254, 18.448, 18.272, 18.418", "s, s, s, s, s"
eval observed time, 89.322, s
eval observed rate per epoch, "54.890, 47.070, 46.516, 47.018, 46.603", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 48.419, MB/s
eval throughput samples per second per epoch, "0.753, 0.657, 0.650, 0.657, 0.652", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.674, samples/s
eval throughput stdev samples per second, 0.040, samples/s
eval io avg, 43.129, MB/s
eval io stdev, 2.547, MB/s
