metric, value, unit
operation, dlio,
ranks, 168,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 441.000, GB
train size per rank, 2.625, GB
train emulated compute time per epoch, "1.938, 1.938, 1.938, 1.938, 1.938", "s, s, s, s, s"
train emulated compute time, 9.690, s
train metadata time per epoch, "9.861, 13.506, 12.975, 13.189, 13.876", "s, s, s, s, s"
train metadata time, 63.407, s
train raw read time per epoch, "12.447, 12.851, 14.590, 17.221, 14.752", "s, s, s, s, s"
train total raw read time, 71.861, s
train raw read rate per epoch, "215.958, 209.172, 184.235, 156.089, 182.207", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 189.532, MB/s
train observed time per epoch, "56.514, 54.837, 77.669, 65.490, 59.024", "s, s, s, s, s"
train observed time, 313.534, s
train observed rate per epoch, "49.252, 50.813, 35.494, 42.296, 47.086", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 44.988, MB/s
train throughput samples per second per epoch, "0.743, 0.766, 0.541, 0.641, 0.712", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 0.681, samples/s
train throughput stdev samples per second, 0.082, samples/s
train io avg, 43.555, MB/s
train io stdev, 5.219, MB/s
eval total size, 126.000, GB
eval size per rank, 768.000, MB
eval emulated compute time per epoch, "1.938, 1.938, 1.938, 1.938, 1.938", "s, s, s, s, s"
eval emulated compute time, 9.690, s
eval metadata time per epoch, "4.481, 3.934, 5.414, 4.442, 3.595", "s, s, s, s, s"
eval metadata time, 21.866, s
eval raw read time per epoch, "3.802, 4.129, 4.688, 5.255, 5.025", "s, s, s, s, s"
eval total raw read time, 22.899, s
eval raw read rate per epoch, "201.225, 185.966, 163.078, 145.912, 152.588", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 170.166, MB/s
eval observed time per epoch, "31.445, 34.691, 45.619, 34.487, 34.412", "s, s, s, s, s"
eval observed time, 180.653, s
eval observed rate per epoch, "26.027, 23.448, 17.581, 23.595, 23.649", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 22.860, MB/s
eval throughput samples per second per epoch, "0.382, 0.346, 0.263, 0.348, 0.349", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.337, samples/s
eval throughput stdev samples per second, 0.039, samples/s
eval io avg, 21.597, MB/s
eval io stdev, 2.526, MB/s
