metric, value, unit
operation, dlio,
ranks, 168,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 441.000, GB
train size per rank, 2.625, GB
train emulated compute time per epoch, "1.938, 1.938, 1.938, 1.938, 1.938", "s, s, s, s, s"
train emulated compute time, 9.690, s
train metadata time per epoch, "21.302, 22.138, 21.057, 22.991, 19.585", "s, s, s, s, s"
train metadata time, 107.073, s
train raw read time per epoch, "15.862, 15.180, 17.557, 13.557, 17.972", "s, s, s, s, s"
train total raw read time, 80.129, s
train raw read rate per epoch, "169.459, 177.076, 153.097, 198.275, 149.563", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 169.494, MB/s
train observed time per epoch, "59.946, 88.517, 99.167, 93.821, 81.075", "s, s, s, s, s"
train observed time, 422.526, s
train observed rate per epoch, "46.338, 31.046, 27.646, 29.254, 33.966", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 33.650, MB/s
train throughput samples per second per epoch, "0.701, 0.474, 0.424, 0.448, 0.518", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 0.513, samples/s
train throughput stdev samples per second, 0.099, samples/s
train io avg, 32.823, MB/s
train io stdev, 6.334, MB/s
eval total size, 126.000, GB
eval size per rank, 768.000, MB
eval emulated compute time per epoch, "1.938, 1.938, 1.938, 1.938, 1.938", "s, s, s, s, s"
eval emulated compute time, 9.690, s
eval metadata time per epoch, "5.682, 5.996, 8.655, 5.682, 6.883", "s, s, s, s, s"
eval metadata time, 32.897, s
eval raw read time per epoch, "6.957, 5.707, 14.879, 7.937, 7.927", "s, s, s, s, s"
eval total raw read time, 43.407, s
eval raw read rate per epoch, "109.672, 134.468, 51.498, 96.320, 96.320", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 98.045, MB/s
eval observed time per epoch, "57.060, 58.769, 85.924, 73.335, 63.231", "s, s, s, s, s"
eval observed time, 338.319, s
eval observed rate per epoch, "13.933, 13.513, 9.144, 10.756, 12.529", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 11.975, MB/s
eval throughput samples per second per epoch, "0.210, 0.204, 0.140, 0.164, 0.190", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.182, samples/s
eval throughput stdev samples per second, 0.026, samples/s
eval io avg, 11.616, MB/s
eval io stdev, 1.688, MB/s
