metric, value, unit
operation, dlio,
ranks, 168,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 441.000, GB
train size per rank, 2.625, GB
train emulated compute time per epoch, "1.938, 1.938, 1.938, 1.938, 1.938", "s, s, s, s, s"
train emulated compute time, 9.690, s
train metadata time per epoch, "10.710, 10.445, 11.231, 11.332, 11.465", "s, s, s, s, s"
train metadata time, 55.183, s
train raw read time per epoch, "16.718, 16.473, 17.226, 18.268, 16.509", "s, s, s, s, s"
train total raw read time, 85.194, s
train raw read rate per epoch, "160.786, 163.172, 156.041, 147.144, 162.818", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 157.992, MB/s
train observed time per epoch, "55.809, 55.489, 52.522, 55.896, 57.265", "s, s, s, s, s"
train observed time, 276.980, s
train observed rate per epoch, "49.896, 50.194, 53.139, 49.816, 48.584", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 50.326, MB/s
train throughput samples per second per epoch, "0.753, 0.757, 0.800, 0.751, 0.733", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 0.759, samples/s
train throughput stdev samples per second, 0.022, samples/s
train io avg, 48.562, MB/s
train io stdev, 1.404, MB/s
eval total size, 126.000, GB
eval size per rank, 768.000, MB
eval emulated compute time per epoch, "1.938, 1.938, 1.938, 1.938, 1.938", "s, s, s, s, s"
eval emulated compute time, 9.690, s
eval metadata time per epoch, "3.056, 2.800, 2.623, 3.162, 2.639", "s, s, s, s, s"
eval metadata time, 14.280, s
eval raw read time per epoch, "5.968, 5.094, 5.188, 4.411, 5.372", "s, s, s, s, s"
eval total raw read time, 26.033, s
eval raw read rate per epoch, "127.792, 150.680, 147.819, 173.568, 142.097", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 148.914, MB/s
eval observed time per epoch, "21.874, 22.112, 22.089, 23.337, 22.235", "s, s, s, s, s"
eval observed time, 111.646, s
eval observed rate per epoch, "38.523, 38.068, 38.112, 35.890, 37.838", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 37.687, MB/s
eval throughput samples per second per epoch, "0.549, 0.543, 0.543, 0.514, 0.540", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.538, samples/s
eval throughput stdev samples per second, 0.012, samples/s
eval io avg, 34.412, MB/s
eval io stdev, 792.016, KB/s
