metric, value, unit
operation, dlio,
ranks, 168,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 441.000, GB
train size per rank, 2.625, GB
train emulated compute time per epoch, "1.938, 1.938, 1.938, 1.938, 1.938", "s, s, s, s, s"
train emulated compute time, 9.690, s
train metadata time per epoch, "11.572, 13.159, 12.708, 13.834, 13.155", "s, s, s, s, s"
train metadata time, 64.428, s
train raw read time per epoch, "9.089, 14.579, 13.119, 14.242, 16.821", "s, s, s, s, s"
train total raw read time, 67.850, s
train raw read rate per epoch, "295.757, 184.374, 204.892, 188.738, 159.801", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 206.712, MB/s
train observed time per epoch, "59.495, 53.988, 52.926, 58.394, 59.152", "s, s, s, s, s"
train observed time, 283.955, s
train observed rate per epoch, "46.701, 51.643, 52.718, 47.611, 46.981", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 49.131, MB/s
train throughput samples per second per epoch, "0.706, 0.778, 0.794, 0.719, 0.710", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 0.741, samples/s
train throughput stdev samples per second, 0.037, samples/s
train io avg, 47.446, MB/s
train io stdev, 2.357, MB/s
eval total size, 126.000, GB
eval size per rank, 768.000, MB
eval emulated compute time per epoch, "1.938, 1.938, 1.938, 1.938, 1.938", "s, s, s, s, s"
eval emulated compute time, 9.690, s
eval metadata time per epoch, "4.488, 4.950, 4.316, 5.223, 3.981", "s, s, s, s, s"
eval metadata time, 22.959, s
eval raw read time per epoch, "3.558, 5.073, 4.127, 6.145, 3.793", "s, s, s, s, s"
eval total raw read time, 22.697, s
eval raw read rate per epoch, "215.530, 150.680, 185.966, 124.931, 202.179", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 176.147, MB/s
eval observed time per epoch, "22.473, 22.123, 22.994, 22.189, 21.566", "s, s, s, s, s"
eval observed time, 111.346, s
eval observed rate per epoch, "37.398, 38.048, 36.473, 37.924, 39.127", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 37.794, MB/s
eval throughput samples per second per epoch, "0.534, 0.542, 0.522, 0.541, 0.556", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.539, samples/s
eval throughput stdev samples per second, 0.011, samples/s
eval io avg, 34.502, MB/s
eval io stdev, 739.984, KB/s
