metric, value, unit
operation, dlio,
ranks, 168,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 441.000, GB
train size per rank, 2.625, GB
train emulated compute time per epoch, "1.938, 1.938, 1.938, 1.938, 1.938", "s, s, s, s, s"
train emulated compute time, 9.690, s
train metadata time per epoch, "10.154, 10.579, 17.092, 15.520, 14.659", "s, s, s, s, s"
train metadata time, 68.003, s
train raw read time per epoch, "15.466, 16.178, 17.377, 18.516, 14.908", "s, s, s, s, s"
train total raw read time, 82.446, s
train raw read rate per epoch, "173.801, 166.146, 154.685, 145.170, 180.309", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 164.021, MB/s
train observed time per epoch, "47.327, 46.362, 47.280, 48.792, 47.191", "s, s, s, s, s"
train observed time, 236.951, s
train observed rate per epoch, "59.222, 60.507, 59.282, 57.370, 59.399", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 59.156, MB/s
train throughput samples per second per epoch, "0.887, 0.906, 0.888, 0.861, 0.890", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 0.886, samples/s
train throughput stdev samples per second, 0.015, samples/s
train io avg, 56.735, MB/s
train io stdev, 951.247, KB/s
eval total size, 126.000, GB
eval size per rank, 768.000, MB
eval emulated compute time per epoch, "1.938, 1.938, 1.938, 1.938, 1.938", "s, s, s, s, s"
eval emulated compute time, 9.690, s
eval metadata time per epoch, "3.461, 3.874, 3.492, 3.650, 4.040", "s, s, s, s, s"
eval metadata time, 18.516, s
eval raw read time per epoch, "3.550, 2.975, 4.277, 3.415, 4.209", "s, s, s, s, s"
eval total raw read time, 18.426, s
eval raw read rate per epoch, "215.530, 257.491, 179.290, 224.113, 182.151", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 212.274, MB/s
eval observed time per epoch, "19.205, 18.244, 19.706, 19.537, 19.333", "s, s, s, s, s"
eval observed time, 96.024, s
eval observed rate per epoch, "44.478, 47.100, 43.225, 43.639, 44.149", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 44.519, MB/s
eval throughput samples per second per epoch, "0.625, 0.658, 0.609, 0.614, 0.621", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.625, samples/s
eval throughput stdev samples per second, 0.017, samples/s
eval io avg, 40.019, MB/s
eval io stdev, 1.095, MB/s
