metric, value, unit
operation, dlio,
ranks, 168,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 441.000, GB
train size per rank, 2.625, GB
train emulated compute time per epoch, "1.938, 1.938, 1.938, 1.938, 1.938", "s, s, s, s, s"
train emulated compute time, 9.690, s
train metadata time per epoch, "15.326, 16.326, 17.376, 16.949, 16.341", "s, s, s, s, s"
train metadata time, 82.317, s
train raw read time per epoch, "12.419, 11.322, 10.094, 12.092, 12.839", "s, s, s, s, s"
train total raw read time, 58.766, s
train raw read rate per epoch, "216.443, 237.415, 266.283, 222.300, 209.367", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 230.361, MB/s
train observed time per epoch, "47.586, 50.050, 46.626, 48.589, 50.093", "s, s, s, s, s"
train observed time, 242.943, s
train observed rate per epoch, "58.884, 55.869, 60.150, 57.619, 55.819", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 57.669, MB/s
train throughput samples per second per epoch, "0.883, 0.839, 0.901, 0.864, 0.838", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 0.865, samples/s
train throughput stdev samples per second, 0.024, samples/s
train io avg, 55.364, MB/s
train io stdev, 1.558, MB/s
eval total size, 126.000, GB
eval size per rank, 768.000, MB
eval emulated compute time per epoch, "1.938, 1.938, 1.938, 1.938, 1.938", "s, s, s, s, s"
eval emulated compute time, 9.690, s
eval metadata time per epoch, "4.335, 4.741, 4.895, 5.410, 5.259", "s, s, s, s, s"
eval metadata time, 24.640, s
eval raw read time per epoch, "5.688, 4.502, 5.010, 4.623, 4.271", "s, s, s, s, s"
eval total raw read time, 24.094, s
eval raw read rate per epoch, "134.468, 169.754, 152.588, 165.938, 179.290", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 160.968, MB/s
eval observed time per epoch, "22.211, 30.513, 28.970, 44.033, 45.540", "s, s, s, s, s"
eval observed time, 171.267, s
eval observed rate per epoch, "37.883, 26.876, 28.410, 18.244, 17.613", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 25.806, MB/s
eval throughput samples per second per epoch, "0.540, 0.393, 0.414, 0.273, 0.264", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.377, samples/s
eval throughput stdev samples per second, 0.102, samples/s
eval io avg, 24.112, MB/s
eval io stdev, 6.533, MB/s
