metric, value, unit
operation, dlio,
ranks, 192,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 504.000, GB
train size per rank, 2.625, GB
train emulated compute time per epoch, "1.938, 1.938, 1.938, 1.938, 1.938", "s, s, s, s, s"
train emulated compute time, 9.690, s
train metadata time per epoch, "11.660, 11.709, 10.655, 11.149, 11.746", "s, s, s, s, s"
train metadata time, 56.920, s
train raw read time per epoch, "13.463, 17.745, 19.907, 20.685, 18.170", "s, s, s, s, s"
train total raw read time, 89.969, s
train raw read rate per epoch, "199.665, 151.480, 135.027, 129.950, 147.938", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 152.812, MB/s
train observed time per epoch, "55.647, 57.425, 57.268, 56.271, 58.244", "s, s, s, s, s"
train observed time, 284.854, s
train observed rate per epoch, "50.047, 48.443, 48.581, 49.473, 47.738", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 48.856, MB/s
train throughput samples per second per epoch, "0.755, 0.731, 0.733, 0.746, 0.721", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 0.737, samples/s
train throughput stdev samples per second, 0.012, samples/s
train io avg, 47.193, MB/s
train io stdev, 775.330, KB/s
eval total size, 120.000, GB
eval size per rank, 640.000, MB
eval emulated compute time per epoch, "1.615, 1.615, 1.615, 1.615, 1.615", "s, s, s, s, s"
eval emulated compute time, 8.075, s
eval metadata time per epoch, "2.088, 2.628, 2.045, 1.573, 1.992", "s, s, s, s, s"
eval metadata time, 10.326, s
eval raw read time per epoch, "5.195, 5.032, 5.748, 5.774, 4.592", "s, s, s, s, s"
eval total raw read time, 26.341, s
eval raw read rate per epoch, "123.023, 126.838, 110.626, 110.626, 139.236", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 122.390, MB/s
eval observed time per epoch, "19.313, 19.303, 20.361, 18.762, 18.087", "s, s, s, s, s"
eval observed time, 95.826, s
eval observed rate per epoch, "36.162, 36.182, 34.141, 37.324, 38.854", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 36.532, MB/s
eval throughput samples per second per epoch, "0.518, 0.518, 0.491, 0.533, 0.553", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.523, samples/s
eval throughput stdev samples per second, 0.020, samples/s
eval io avg, 33.444, MB/s
eval io stdev, 1.298, MB/s
