metric, value, unit
operation, dlio,
ranks, 192,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 504.000, GB
train size per rank, 2.625, GB
train emulated compute time per epoch, "1.938, 1.938, 1.938, 1.938, 1.938", "s, s, s, s, s"
train emulated compute time, 9.690, s
train metadata time per epoch, "11.183, 12.321, 10.203, 11.528, 12.188", "s, s, s, s, s"
train metadata time, 57.423, s
train raw read time per epoch, "19.547, 21.107, 17.987, 18.006, 18.756", "s, s, s, s, s"
train total raw read time, 95.402, s
train raw read rate per epoch, "137.513, 127.354, 149.443, 149.286, 143.315", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 141.382, MB/s
train observed time per epoch, "55.490, 59.415, 58.983, 60.764, 60.626", "s, s, s, s, s"
train observed time, 295.277, s
train observed rate per epoch, "50.193, 46.767, 47.120, 45.693, 45.801", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 47.115, MB/s
train throughput samples per second per epoch, "0.757, 0.707, 0.712, 0.691, 0.693", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 0.712, samples/s
train throughput stdev samples per second, 0.024, samples/s
train io avg, 45.565, MB/s
train io stdev, 1.525, MB/s
eval total size, 120.000, GB
eval size per rank, 640.000, MB
eval emulated compute time per epoch, "1.615, 1.615, 1.615, 1.615, 1.615", "s, s, s, s, s"
eval emulated compute time, 8.075, s
eval metadata time per epoch, "2.162, 3.870, 3.598, 3.281, 3.491", "s, s, s, s, s"
eval metadata time, 16.401, s
eval raw read time per epoch, "5.395, 5.245, 5.820, 3.841, 5.381", "s, s, s, s, s"
eval total raw read time, 25.682, s
eval raw read rate per epoch, "118.255, 121.116, 109.672, 165.938, 118.255", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 127.233, MB/s
eval observed time per epoch, "19.480, 20.712, 19.252, 19.886, 19.112", "s, s, s, s, s"
eval observed time, 98.442, s
eval observed rate per epoch, "35.825, 33.514, 36.287, 35.027, 36.577", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 35.445, MB/s
eval throughput samples per second per epoch, "0.513, 0.483, 0.519, 0.503, 0.523", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.508, samples/s
eval throughput stdev samples per second, 0.014, samples/s
eval io avg, 32.533, MB/s
eval io stdev, 950.267, KB/s
