metric, value, unit
operation, dlio,
ranks, 192,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 504.000, GB
train size per rank, 2.625, GB
train emulated compute time per epoch, "1.938, 1.938, 1.938, 1.938, 1.938", "s, s, s, s, s"
train emulated compute time, 9.690, s
train metadata time per epoch, "12.957, 12.088, 12.974, 13.812, 12.757", "s, s, s, s, s"
train metadata time, 64.587, s
train raw read time per epoch, "15.110, 17.701, 15.389, 12.902, 12.020", "s, s, s, s, s"
train total raw read time, 73.122, s
train raw read rate per epoch, "177.896, 151.856, 174.667, 208.331, 223.628", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 187.276, MB/s
train observed time per epoch, "88.375, 80.492, 80.219, 84.116, 167.315", "s, s, s, s, s"
train observed time, 500.516, s
train observed rate per epoch, "31.098, 34.218, 34.337, 32.709, 16.253", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 29.723, MB/s
train throughput samples per second per epoch, "0.475, 0.522, 0.524, 0.499, 0.251", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 0.454, samples/s
train throughput stdev samples per second, 0.103, samples/s
train io avg, 29.067, MB/s
train io stdev, 6.598, MB/s
eval total size, 120.000, GB
eval size per rank, 640.000, MB
eval emulated compute time per epoch, "1.615, 1.615, 1.615, 1.615, 1.615", "s, s, s, s, s"
eval emulated compute time, 8.075, s
eval metadata time per epoch, "3.021, 3.184, 2.615, 3.229, 2.981", "s, s, s, s, s"
eval metadata time, 15.030, s
eval raw read time per epoch, "4.784, 5.559, 3.216, 3.681, 4.233", "s, s, s, s, s"
eval total raw read time, 21.473, s
eval raw read rate per epoch, "133.514, 114.440, 198.364, 173.568, 150.680", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 154.598, MB/s
eval observed time per epoch, "35.037, 28.459, 36.579, 31.080, 41.163", "s, s, s, s, s"
eval observed time, 172.318, s
eval observed rate per epoch, "19.148, 23.841, 18.304, 21.721, 16.183", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 19.839, MB/s
eval throughput samples per second per epoch, "0.285, 0.351, 0.273, 0.322, 0.243", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.295, samples/s
eval throughput stdev samples per second, 0.038, samples/s
eval io avg, 18.878, MB/s
eval io stdev, 2.422, MB/s
